parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
20	OLMF	0.5494	0.1393	0.2686	0.232	0.1649	0.187
20	S-A^2-Bias-adj	0.4012	0.1119	0.5064	0.1738	0.3664	0.2154
20	Sum A	0.5795	0.1198	0.1942	0.1855	0.119	0.1407
20	US	0.1453	0.1753	0.6898	0.2884	0.7096	0.2938
20	graph-tool	0.3682	0.222	0.5579	0.2753	0.4298	0.3451
30	DC_MASE	0.0164	0.0431	0.9547	0.0929	0.9625	0.0858
30	FROST_DCMASE	0.0025	0.025	0.9975	0.025	0.9971	0.0288
30	FROST_MF	0.0054	0.0321	0.9926	0.0411	0.9908	0.053
30	FROST_US	0.0041	0.0403	0.9925	0.0714	0.9925	0.0723
30	MASE	0.4056	0.1098	0.5059	0.1645	0.368	0.2064
30	MF	0.0758	0.1223	0.8167	0.2241	0.8362	0.2231
30	OLMF	0.5335	0.1374	0.2961	0.2228	0.1813	0.1733
30	S-A^2-Bias-adj	0.3706	0.1221	0.5617	0.187	0.4276	0.2375
30	Sum A	0.5722	0.1417	0.2144	0.2168	0.1378	0.178
30	US	0.0733	0.1149	0.8215	0.2184	0.8397	0.2155
30	graph-tool	0.3813	0.1889	0.5551	0.2312	0.4176	0.2956
40	DC_MASE	0.0044	0.0209	0.9863	0.0522	0.989	0.0487
40	FROST_DCMASE	0	0	1	0	1	0
40	FROST_MF	0	0	1	0	1	0
40	FROST_US	0.0021	0.0213	0.9962	0.0383	0.9955	0.0454
40	MASE	0.3756	0.1112	0.559	0.1671	0.4259	0.2105
40	MF	0.033	0.0786	0.9118	0.1513	0.9251	0.145
40	OLMF	0.5238	0.1284	0.3163	0.215	0.1899	0.1698
40	S-A^2-Bias-adj	0.3459	0.1134	0.6046	0.1707	0.4792	0.218
40	Sum A	0.5749	0.121	0.2124	0.1838	0.1255	0.1366
40	US	0.0311	0.0708	0.9143	0.1403	0.9279	0.1344
40	graph-tool	0.4035	0.1748	0.5378	0.2078	0.392	0.2692
50	DC_MASE	0.0033	0.025	0.9943	0.0265	0.9949	0.0294
50	FROST_DCMASE	0.0025	0.025	0.9975	0.025	0.9971	0.0288
50	FROST_MF	0	0	1	0	1	0
50	FROST_US	0	0	1	0	1	0
50	MASE	0.3688	0.1133	0.5746	0.1657	0.4414	0.2119
50	MF	0.0122	0.0231	0.9599	0.0709	0.9686	0.0583
50	OLMF	0.4955	0.1184	0.3597	0.2011	0.2217	0.1723
50	S-A^2-Bias-adj	0.3338	0.1147	0.6241	0.172	0.5013	0.2221
50	Sum A	0.5519	0.1381	0.2505	0.2132	0.1569	0.1792
50	US	0.0123	0.027	0.9608	0.0742	0.9687	0.0646
50	graph-tool	0.3997	0.1758	0.54	0.2077	0.3937	0.271
