parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
1	DC_MASE	0.5929	0.1939	0.1243	0.2346	0.1163	0.2503
1	FROST_DCMASE	0.589	0.2005	0.1263	0.2405	0.1207	0.2568
1	FROST_MF	0.5947	0.1986	0.1224	0.2387	0.1156	0.2546
1	FROST_US	0.591	0.1973	0.124	0.2385	0.1176	0.2545
1	MASE	0.5919	0.1972	0.1263	0.2374	0.1181	0.2528
1	MF	0.5934	0.1921	0.1159	0.2275	0.1104	0.2435
1	OLMF	0.6249	0.1593	0.0941	0.1843	0.0634	0.1455
1	S-A^2-Bias-adj	0.5894	0.1965	0.126	0.2369	0.1179	0.2526
1	Sum A	0.5917	0.1971	0.1264	0.2374	0.1181	0.2528
1	US	0.5936	0.1928	0.1158	0.2295	0.1106	0.2453
1	graph-tool	0.6287	0.2106	0.1126	0.2517	0.1036	0.2637
2	DC_MASE	0.5453	0.2087	0.165	0.2485	0.1601	0.2652
2	FROST_DCMASE	0.5386	0.2117	0.1652	0.2403	0.1644	0.26
2	FROST_MF	0.5485	0.2043	0.1585	0.2328	0.155	0.2513
2	FROST_US	0.5501	0.2075	0.156	0.2339	0.1537	0.2525
2	MASE	0.5626	0.1637	0.121	0.1539	0.1157	0.1694
2	MF	0.6027	0.1355	0.1024	0.1587	0.0874	0.1529
2	OLMF	0.6146	0.1711	0.1146	0.2145	0.0827	0.1875
2	S-A^2-Bias-adj	0.5677	0.175	0.1494	0.2154	0.131	0.2161
2	Sum A	0.5896	0.1757	0.1131	0.1844	0.1059	0.1999
2	US	0.6034	0.1378	0.0928	0.1435	0.0783	0.1382
2	graph-tool	0.5638	0.2418	0.1799	0.2942	0.172	0.3099
3	DC_MASE	0.4586	0.2363	0.2594	0.2884	0.2603	0.3105
3	FROST_DCMASE	0.4255	0.2547	0.3023	0.3243	0.3091	0.3462
3	FROST_MF	0.4602	0.2363	0.2611	0.3006	0.2624	0.3193
3	FROST_US	0.4476	0.2443	0.2748	0.3087	0.2788	0.3288
3	MASE	0.4775	0.2017	0.2178	0.244	0.2158	0.2604
3	MF	0.5539	0.1618	0.138	0.1773	0.1294	0.1903
3	OLMF	0.5322	0.2459	0.2219	0.3169	0.1909	0.3094
3	S-A^2-Bias-adj	0.5364	0.206	0.2037	0.2644	0.1824	0.2734
3	Sum A	0.5106	0.2187	0.1958	0.2528	0.1949	0.2721
3	US	0.533	0.1808	0.1537	0.192	0.1491	0.2068
3	graph-tool	0.4462	0.2919	0.3261	0.3821	0.3225	0.4015
5	DC_MASE	0.4066	0.2428	0.3221	0.3123	0.3261	0.3338
5	FROST_DCMASE	0.3579	0.2666	0.4026	0.3569	0.4115	0.377
5	FROST_MF	0.3869	0.2647	0.3676	0.3521	0.3742	0.3727
5	FROST_US	0.3777	0.2698	0.3809	0.3584	0.3889	0.3796
5	MASE	0.4115	0.2212	0.2971	0.275	0.3014	0.2955
5	MF	0.4978	0.2031	0.1981	0.23	0.1969	0.2487
5	OLMF	0.5335	0.2726	0.2384	0.3617	0.2203	0.3617
5	S-A^2-Bias-adj	0.5504	0.2516	0.1945	0.3208	0.1858	0.3306
5	Sum A	0.5185	0.2216	0.1882	0.2559	0.1873	0.2758
5	US	0.4852	0.2099	0.2074	0.2365	0.2086	0.2568
5	graph-tool	0.3808	0.312	0.4276	0.4296	0.4236	0.445
7	DC_MASE	0.3114	0.2453	0.4497	0.3388	0.4588	0.3594
7	FROST_DCMASE	0.2455	0.2615	0.5714	0.3718	0.5851	0.3866
7	FROST_MF	0.2752	0.2661	0.5263	0.3816	0.5365	0.3972
7	FROST_US	0.2687	0.2649	0.5397	0.3797	0.5494	0.3955
7	MASE	0.322	0.2199	0.4153	0.2974	0.4255	0.3189
7	MF	0.414	0.2274	0.2969	0.2746	0.3035	0.2968
7	OLMF	0.4749	0.2731	0.3132	0.3773	0.2897	0.3741
7	S-A^2-Bias-adj	0.4582	0.2874	0.3117	0.3753	0.305	0.387
7	Sum A	0.4656	0.2353	0.2447	0.2802	0.2486	0.3024
7	US	0.391	0.2267	0.3173	0.2792	0.3269	0.3021
7	graph-tool	0.2568	0.3064	0.6109	0.432	0.6091	0.4436
10	DC_MASE	0.1792	0.1974	0.6448	0.2981	0.6627	0.311
10	FROST_DCMASE	0.1088	0.1821	0.7962	0.2783	0.8076	0.2865
10	FROST_MF	0.1358	0.2066	0.7529	0.3132	0.7627	0.3229
10	FROST_US	0.1312	0.209	0.762	0.3151	0.7719	0.325
10	MASE	0.1875	0.1827	0.6063	0.2789	0.6277	0.2919
10	MF	0.2882	0.2114	0.4536	0.2928	0.4688	0.3113
10	OLMF	0.4196	0.2792	0.3909	0.395	0.3601	0.3943
10	S-A^2-Bias-adj	0.3128	0.2888	0.4977	0.3985	0.4981	0.4126
10	Sum A	0.4434	0.2471	0.2772	0.307	0.2823	0.3269
10	US	0.2871	0.2116	0.4554	0.2906	0.4706	0.309
10	graph-tool	0.1185	0.2263	0.8208	0.3222	0.8159	0.3333
15	DC_MASE	0.0907	0.1368	0.7953	0.2469	0.8114	0.2487
15	FROST_DCMASE	0.0329	0.0903	0.929	0.1525	0.9362	0.1533
15	FROST_MF	0.0673	0.1554	0.8781	0.2474	0.8825	0.2528
15	FROST_US	0.049	0.1213	0.9013	0.2	0.9084	0.2029
15	MASE	0.0959	0.1254	0.7723	0.2385	0.7924	0.2379
15	MF	0.1892	0.2085	0.624	0.3203	0.6417	0.3311
15	OLMF	0.3515	0.2902	0.5009	0.4197	0.4691	0.4178
15	S-A^2-Bias-adj	0.1871	0.2568	0.6867	0.3729	0.6899	0.3832
15	Sum A	0.3772	0.2634	0.3658	0.3356	0.3761	0.3568
15	US	0.1736	0.1934	0.6427	0.307	0.6621	0.3158
15	graph-tool	0.053	0.1509	0.9221	0.2156	0.917	0.2279
20	DC_MASE	0.0588	0.1163	0.8672	0.2075	0.8796	0.2049
20	FROST_DCMASE	0.0227	0.0912	0.96	0.1401	0.9622	0.1431
20	FROST_MF	0.0304	0.1132	0.9446	0.1749	0.9469	0.1801
20	FROST_US	0.0275	0.1003	0.9487	0.1602	0.9507	0.1646
20	MASE	0.0596	0.1015	0.849	0.1971	0.8669	0.1937
20	MF	0.129	0.167	0.7166	0.2847	0.7375	0.2893
20	OLMF	0.3465	0.2762	0.5026	0.4061	0.4694	0.4036
20	S-A^2-Bias-adj	0.1119	0.2141	0.8083	0.3236	0.8121	0.3312
20	Sum A	0.3995	0.268	0.3497	0.3479	0.3555	0.3671
20	US	0.1259	0.1661	0.7243	0.278	0.7445	0.282
20	graph-tool	0.0423	0.1477	0.9401	0.2088	0.936	0.2189
30	DC_MASE	0.012	0.0364	0.9674	0.0754	0.9731	0.0691
30	FROST_DCMASE	0.0027	0.025	0.9969	0.0252	0.9967	0.0288
30	FROST_MF	2e-04	0.0011	0.9991	0.0042	0.9994	0.0029
30	FROST_US	0.0023	0.0223	0.9959	0.0377	0.9957	0.0402
30	MASE	0.0124	0.0275	0.9607	0.0781	0.9684	0.0672
30	MF	0.0442	0.0935	0.8919	0.1769	0.904	0.1746
30	OLMF	0.2762	0.2559	0.6149	0.3797	0.573	0.3813
30	S-A^2-Bias-adj	0.0179	0.0801	0.963	0.1347	0.9659	0.1352
30	Sum A	0.3187	0.276	0.4616	0.3671	0.4737	0.3875
30	US	0.0383	0.0722	0.895	0.161	0.9102	0.1511
30	graph-tool	0.005	0.0352	0.9949	0.0352	0.9924	0.0525
40	DC_MASE	0.0042	0.0138	0.986	0.0436	0.9892	0.0351
40	FROST_DCMASE	0	3e-04	0.9999	0.0013	0.9999	9e-04
40	FROST_MF	1e-04	5e-04	0.9997	0.0018	0.9998	0.0013
40	FROST_US	0	3e-04	0.9999	0.0013	0.9999	9e-04
40	MASE	0.0041	0.0111	0.9861	0.0365	0.9894	0.0287
40	MF	0.022	0.0579	0.9392	0.134	0.948	0.1265
40	OLMF	0.2922	0.2452	0.6102	0.3669	0.5557	0.3644
40	S-A^2-Bias-adj	0.0086	0.0538	0.9823	0.1007	0.9832	0.1009
40	Sum A	0.3466	0.2685	0.4168	0.355	0.4268	0.3748
40	US	0.0239	0.0673	0.9367	0.1379	0.9458	0.1324
40	graph-tool	0.0027	0.0205	0.9956	0.0259	0.9949	0.0335
50	DC_MASE	0.0033	0.0251	0.9944	0.0273	0.9949	0.0297
50	FROST_DCMASE	0.0025	0.025	0.9975	0.025	0.9971	0.0288
50	FROST_MF	0	0	1	0	1	0
50	FROST_US	0	0	1	0	1	0
50	MASE	6e-04	0.0018	0.9977	0.0066	0.9983	0.0048
50	MF	0.0103	0.0258	0.9671	0.0758	0.9738	0.0638
50	OLMF	0.279	0.275	0.6231	0.4029	0.5842	0.4035
50	S-A^2-Bias-adj	1e-04	8e-04	0.9995	0.0031	0.9996	0.0022
50	Sum A	0.3197	0.2756	0.4621	0.3696	0.4732	0.3894
50	US	0.0092	0.0246	0.9709	0.0721	0.9766	0.0612
50	graph-tool	0.0017	0.0073	0.996	0.0161	0.9956	0.0181
