parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
1	DC_MASE	0.6059	0.0501	0.0704	0.0345	0.0582	0.0358
1	FROST_DCMASE	0.6076	0.0521	0.0694	0.0354	0.0578	0.0369
1	FROST_MF	0.6201	0.0498	0.0615	0.0348	0.0475	0.0354
1	FROST_US	0.6154	0.0531	0.0635	0.0343	0.051	0.0366
1	MASE	0.6031	0.0499	0.0725	0.0336	0.0603	0.0357
1	MF	0.6283	0.04	0.0537	0.0267	0.0401	0.0264
1	OLMF	0.5543	0.0478	0.1217	0.0395	0.0751	0.0313
1	S-A^2-Bias-adj	0.5907	0.0457	0.0765	0.0317	0.0641	0.0333
1	Sum A	0.6032	0.0498	0.0724	0.0335	0.0602	0.0356
1	US	0.6236	0.0382	0.0562	0.0252	0.0422	0.0247
1	graph-tool	0.6915	0.035	0.0262	0.0195	0.0099	0.0154
2	DC_MASE	0.5856	0.0505	0.088	0.0361	0.0732	0.0372
2	FROST_DCMASE	0.5715	0.0632	0.1093	0.0541	0.0959	0.0571
2	FROST_MF	0.6054	0.058	0.0791	0.0501	0.066	0.0519
2	FROST_US	0.6015	0.0567	0.0846	0.0501	0.0701	0.0509
2	MASE	0.5747	0.0478	0.1033	0.0397	0.0874	0.0405
2	MF	0.6307	0.0371	0.0517	0.0238	0.0381	0.0238
2	OLMF	0.3554	0.0939	0.3147	0.0855	0.2965	0.1034
2	S-A^2-Bias-adj	0.5448	0.0476	0.1259	0.0419	0.1106	0.0427
2	Sum A	0.4714	0.0613	0.1996	0.0567	0.1904	0.0631
2	US	0.6325	0.0343	0.0494	0.0236	0.0353	0.0233
2	graph-tool	0.6215	0.0707	0.0854	0.0596	0.0564	0.0573
3	DC_MASE	0.5649	0.0615	0.1066	0.0474	0.0912	0.0491
3	FROST_DCMASE	0.517	0.1054	0.1738	0.1072	0.1626	0.1161
3	FROST_MF	0.5709	0.0722	0.1162	0.0689	0.1019	0.0705
3	FROST_US	0.5588	0.0803	0.1274	0.0771	0.1141	0.0806
3	MASE	0.5441	0.0612	0.1321	0.0542	0.1156	0.0562
3	MF	0.6326	0.0388	0.0508	0.0252	0.0366	0.0239
3	OLMF	0.2033	0.0865	0.523	0.0978	0.5447	0.1159
3	S-A^2-Bias-adj	0.5989	0.0261	0.1038	0.0274	0.0812	0.0259
3	Sum A	0.2513	0.1005	0.4593	0.1086	0.4836	0.131
3	US	0.6222	0.0425	0.0569	0.0285	0.0428	0.0272
3	graph-tool	0.4766	0.1384	0.2446	0.148	0.215	0.1651
5	DC_MASE	0.4835	0.0723	0.1795	0.0628	0.1668	0.0672
5	FROST_DCMASE	0.3227	0.1505	0.4331	0.1931	0.4316	0.2123
5	FROST_MF	0.477	0.1251	0.245	0.1575	0.2289	0.1646
5	FROST_US	0.4459	0.1422	0.2798	0.1789	0.2671	0.1897
5	MASE	0.4522	0.0823	0.2272	0.0797	0.2148	0.088
