parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
1	DC_MASE	0.6138	0.0492	0.066	0.0347	0.0524	0.035
1	FROST_DCMASE	0.6194	0.0518	0.0615	0.0365	0.0491	0.0373
1	FROST_MF	0.6245	0.0504	0.0583	0.0352	0.0451	0.0363
1	FROST_US	0.6311	0.0492	0.0542	0.0326	0.0406	0.0338
1	MASE	0.6149	0.0498	0.0659	0.0352	0.0524	0.0357
1	MF	0.6351	0.04	0.0465	0.0248	0.0335	0.0248
1	OLMF	0.5787	0.0514	0.108	0.042	0.0562	0.0288
1	S-A^2-Bias-adj	0.6086	0.0483	0.0685	0.035	0.0548	0.0352
1	Sum A	0.6148	0.0498	0.066	0.035	0.0524	0.0353
1	US	0.6346	0.0396	0.0465	0.024	0.0334	0.0239
1	graph-tool	0.7001	0.0308	0.0245	0.0165	0.0066	0.0112
2	DC_MASE	0.5997	0.0468	0.0781	0.0363	0.0625	0.0346
2	FROST_DCMASE	0.5875	0.0647	0.0939	0.0554	0.0786	0.0552
2	FROST_MF	0.6223	0.0518	0.0647	0.0408	0.05	0.0397
2	FROST_US	0.6116	0.0529	0.0721	0.0433	0.0582	0.0435
2	MASE	0.5735	0.0496	0.1058	0.0423	0.0883	0.0411
2	MF	0.637	0.0312	0.0463	0.0196	0.0318	0.0181
2	OLMF	0.5387	0.0439	0.1711	0.0497	0.1234	0.0444
2	S-A^2-Bias-adj	0.6017	0.0393	0.0989	0.0405	0.0711	0.0331
2	Sum A	0.5527	0.0687	0.1549	0.0714	0.1229	0.0664
2	US	0.6396	0.0337	0.0444	0.0208	0.0307	0.0199
2	graph-tool	0.6694	0.0578	0.0504	0.0453	0.0241	0.0417
3	DC_MASE	0.5623	0.0564	0.112	0.0449	0.096	0.0461
3	FROST_DCMASE	0.5013	0.091	0.1929	0.0984	0.1756	0.1013
3	FROST_MF	0.5626	0.0756	0.1201	0.0717	0.1047	0.0725
3	FROST_US	0.5622	0.0706	0.1204	0.0667	0.1041	0.0676
3	MASE	0.5369	0.0607	0.1405	0.0546	0.1218	0.0556
3	MF	0.6281	0.0359	0.0513	0.0232	0.0375	0.0223
3	OLMF	0.5213	0.0298	0.2517	0.0402	0.1391	0.0244
3	S-A^2-Bias-adj	0.5442	0.0322	0.1834	0.0449	0.1148	0.0354
3	Sum A	0.4777	0.0323	0.2895	0.0418	0.1837	0.0416
3	US	0.6238	0.0366	0.0546	0.0207	0.0404	0.0205
3	graph-tool	0.6664	0.0745	0.0905	0.087	0.0403	0.064
5	DC_MASE	0.5043	0.0651	0.1666	0.0561	0.1506	0.0612
5	FROST_DCMASE	0.3306	0.1322	0.4435	0.1787	0.4253	0.1896
5	FROST_MF	0.4436	0.1036	0.2865	0.1375	0.2631	0.1375
5	FROST_US	0.4402	0.1191	0.2856	0.165	0.2651	0.1677
5	MASE	0.5679	0.0333	0.16	0.0471	0.1096	0.0351
5	MF	0.6058	0.0396	0.0686	0.0275	0.0544	0.0272
5	OLMF	0.472	0.0316	0.3618	0.0436	0.2144	0.0457
5	S-A^2-Bias-adj	0.479	0.0457	0.2996	0.0588	0.2089	0.062
5	Sum A	0.4136	0.0468	0.4237	0.0706	0.301	0.0894
5	US	0.5934	0.0434	0.0767	0.0301	0.0628	0.0304
5	graph-tool	0.5496	0.072	0.2784	0.1095	0.1534	0.0811
7	DC_MASE	0.4199	0.0742	0.243	0.069	0.2346	0.0768
7	FROST_DCMASE	0.148	0.1316	0.7537	0.1861	0.7357	0.2096
7	FROST_MF	0.3456	0.1392	0.4374	0.2084	0.4055	0.2074
7	FROST_US	0.2991	0.1337	0.518	0.2013	0.4838	0.2077
7	MASE	0.5476	0.0278	0.1998	0.0456	0.1363	0.0336
7	MF	0.5815	0.0445	0.0884	0.0325	0.0736	0.0326
7	OLMF	0.4108	0.0721	0.4707	0.0908	0.3406	0.1146
7	S-A^2-Bias-adj	0.4214	0.0691	0.4125	0.0888	0.3182	0.1089
7	Sum A	0.3237	0.0607	0.5885	0.0915	0.497	0.1151
7	US	0.5796	0.0501	0.0901	0.0343	0.076	0.0355
7	graph-tool	0.5061	0.0163	0.3876	0.0425	0.2202	0.036
10	DC_MASE	0.314	0.0813	0.3643	0.0934	0.3707	0.1079
10	FROST_DCMASE	0.0445	0.0867	0.9361	0.1081	0.9262	0.1337
10	FROST_MF	0.1929	0.134	0.7177	0.1911	0.6706	0.2099
