parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
1	DC_MASE	0.5929	0.1939	0.1243	0.2346	0.1163	0.2503
1	FROST_DCMASE	0.589	0.2005	0.1263	0.2405	0.1207	0.2568
1	FROST_MF	0.5947	0.1986	0.1224	0.2387	0.1156	0.2546
1	FROST_US	0.591	0.1973	0.124	0.2385	0.1176	0.2545
1	MASE	0.5919	0.1972	0.1263	0.2374	0.1181	0.2528
1	MF	0.5934	0.1921	0.1159	0.2275	0.1104	0.2435
1	OLMF	0.6249	0.1593	0.0941	0.1843	0.0634	0.1455
1	S-A^2-Bias-adj	0.5894	0.1965	0.126	0.2369	0.1179	0.2526
1	Sum A	0.5917	0.1971	0.1264	0.2374	0.1181	0.2528
1	US	0.5936	0.1928	0.1158	0.2295	0.1106	0.2453
1	graph-tool	0.6343	0.2138	0.1119	0.2556	0.1026	0.2689
2	DC_MASE	0.5246	0.2258	0.1975	0.2797	0.1936	0.2974
2	FROST_DCMASE	0.5092	0.2423	0.2154	0.293	0.2173	0.3147
2	FROST_MF	0.5131	0.2419	0.2117	0.2934	0.2124	0.3141
2	FROST_US	0.5071	0.2467	0.2175	0.3022	0.2184	0.3233
2	MASE	0.5409	0.1932	0.1496	0.1962	0.1478	0.2163
2	MF	0.5698	0.1716	0.1381	0.1964	0.1248	0.1961
2	OLMF	0.5807	0.2073	0.1528	0.2551	0.1181	0.23
2	S-A^2-Bias-adj	0.4948	0.2426	0.2253	0.301	0.2251	0.3217
2	Sum A	0.5707	0.2037	0.1387	0.232	0.1348	0.253
2	US	0.5851	0.1502	0.117	0.1649	0.0993	0.1572
2	graph-tool	0.5444	0.2644	0.2097	0.3319	0.1972	0.3449
3	DC_MASE	0.4538	0.2441	0.2717	0.3041	0.2733	0.3241
3	FROST_DCMASE	0.4168	0.2658	0.3245	0.3297	0.3333	0.3529
3	FROST_MF	0.4458	0.2565	0.2953	0.3234	0.2991	0.3445
3	FROST_US	0.41	0.2647	0.3281	0.3288	0.3386	0.3527
3	MASE	0.4853	0.1981	0.2029	0.217	0.203	0.2375
3	MF	0.5527	0.1552	0.1359	0.1562	0.1267	0.1641
3	OLMF	0.5753	0.1988	0.1615	0.2499	0.1192	0.213
3	S-A^2-Bias-adj	0.4222	0.2597	0.3124	0.3289	0.3185	0.3516
3	Sum A	0.5765	0.1845	0.1237	0.1971	0.1185	0.2142
3	US	0.5248	0.1862	0.1609	0.1916	0.1578	0.2053
3	graph-tool	0.4715	0.2934	0.3089	0.3741	0.2904	0.3863
5	DC_MASE	0.3759	0.2368	0.3583	0.3063	0.3624	0.3261
5	FROST_DCMASE	0.3044	0.2537	0.4623	0.3289	0.4808	0.3524
5	FROST_MF	0.3308	0.255	0.4396	0.3277	0.4527	0.3501
5	FROST_US	0.3124	0.2538	0.455	0.3288	0.4717	0.3523
5	MASE	0.4195	0.2072	0.2829	0.2518	0.2861	0.273
5	MF	0.4891	0.1968	0.2089	0.2306	0.2057	0.2475
5	OLMF	0.5386	0.2309	0.2082	0.298	0.1673	0.2729
5	S-A^2-Bias-adj	0.342	0.2597	0.4193	0.3422	0.4308	0.3619
5	Sum A	0.5648	0.2145	0.15	0.2446	0.1468	0.2645
5	US	0.4663	0.1968	0.2232	0.2225	0.2246	0.2408
5	graph-tool	0.417	0.281	0.3978	0.3656	0.358	0.3774
7	DC_MASE	0.2831	0.217	0.4733	0.3029	0.4864	0.3217
7	FROST_DCMASE	0.2022	0.212	0.6044	0.2881	0.6299	0.3052
7	FROST_MF	0.2147	0.2161	0.5922	0.295	0.6146	0.3135
7	FROST_US	0.1964	0.2133	0.6074	0.2908	0.6347	0.3069
7	MASE	0.3433	0.2027	0.374	0.2648	0.3836	0.2869
7	MF	0.4077	0.2072	0.2958	0.2666	0.2989	0.2853
7	OLMF	0.4934	0.2477	0.2708	0.3248	0.2227	0.3025
7	S-A^2-Bias-adj	0.2955	0.2648	0.4982	0.3606	0.5105	0.3789
7	Sum A	0.5484	0.2218	0.1705	0.2625	0.1675	0.2812
7	US	0.3906	0.208	0.3158	0.2708	0.3217	0.2898
7	graph-tool	0.3651	0.2791	0.4737	0.3646	0.4227	0.3846
10	DC_MASE	0.1828	0.1915	0.6228	0.2908	0.644	0.3039
10	FROST_DCMASE	0.1096	0.1563	0.7528	0.2339	0.7806	0.2427
10	FROST_MF	0.1284	0.1826	0.7321	0.26	0.7573	0.2716
10	FROST_US	0.1153	0.1733	0.7475	0.2478	0.7747	0.2575
10	MASE	0.2485	0.1886	0.5038	0.2648	0.5233	0.2849
10	MF	0.2981	0.2166	0.44	0.2935	0.4555	0.3144
10	OLMF	0.4239	0.2774	0.3669	0.3756	0.3211	0.3712
10	S-A^2-Bias-adj	0.2277	0.2528	0.6031	0.3493	0.6151	0.3628
10	Sum A	0.5437	0.2131	0.1708	0.2498	0.1675	0.2671
10	US	0.2831	0.2053	0.4515	0.2862	0.47	0.304
10	graph-tool	0.2914	0.2565	0.5753	0.3349	0.5224	0.3611
15	DC_MASE	0.1008	0.1235	0.7625	0.2198	0.7853	0.2242
15	FROST_DCMASE	0.0458	0.059	0.8698	0.1055	0.8946	0.1031
15	FROST_MF	0.0487	0.0768	0.8673	0.1232	0.8907	0.1255
15	FROST_US	0.0564	0.0839	0.8576	0.1339	0.8797	0.1373
15	MASE	0.1653	0.1428	0.6288	0.2359	0.6541	0.2474
15	MF	0.1857	0.1742	0.5993	0.2768	0.6253	0.2888
15	OLMF	0.3952	0.2717	0.4124	0.3708	0.359	0.3661
15	S-A^2-Bias-adj	0.1585	0.2097	0.7133	0.3078	0.7211	0.3186
15	Sum A	0.5308	0.2319	0.1927	0.2764	0.1906	0.2956
15	US	0.1831	0.1745	0.6044	0.2737	0.6309	0.2863
15	graph-tool	0.2325	0.2124	0.654	0.2665	0.5892	0.3139
20	DC_MASE	0.0531	0.0839	0.8555	0.168	0.8762	0.164
20	FROST_DCMASE	0.0192	0.0177	0.9323	0.0581	0.9496	0.0454
20	FROST_MF	0.0236	0.0398	0.926	0.0812	0.9425	0.076
20	FROST_US	0.0277	0.0592	0.9211	0.1021	0.937	0.1001
20	MASE	0.114	0.1117	0.7224	0.199	0.749	0.2047
20	MF	0.1191	0.1356	0.7145	0.2409	0.7427	0.2452
20	OLMF	0.3375	0.2785	0.4974	0.3886	0.4466	0.3974
20	S-A^2-Bias-adj	0.1318	0.2	0.7661	0.2952	0.77	0.3036
20	Sum A	0.5274	0.2448	0.2052	0.2985	0.2026	0.3158
20	US	0.1153	0.1295	0.7203	0.233	0.7478	0.2365
20	graph-tool	0.2377	0.2026	0.6595	0.253	0.5894	0.2997
30	DC_MASE	0.0222	0.0354	0.9316	0.0809	0.946	0.0699
30	FROST_DCMASE	0.0096	0.0264	0.9708	0.0396	0.9781	0.0363
30	FROST_MF	0.0074	0.0083	0.9726	0.0292	0.9803	0.0217
30	FROST_US	0.0074	0.0082	0.9726	0.0292	0.9803	0.0217
30	MASE	0.0642	0.0765	0.834	0.1488	0.8545	0.1482
30	MF	0.0587	0.0699	0.8329	0.16	0.8588	0.1508
30	OLMF	0.296	0.283	0.5604	0.4031	0.514	0.4251
30	S-A^2-Bias-adj	0.0927	0.1613	0.8334	0.2507	0.8341	0.2591
30	Sum A	0.5107	0.2476	0.229	0.3187	0.2248	0.3337
30	US	0.053	0.059	0.8435	0.1462	0.8696	0.1356
30	graph-tool	0.2159	0.1779	0.6947	0.2183	0.6196	0.2808
40	DC_MASE	0.0136	0.0317	0.9602	0.0669	0.9684	0.0585
40	FROST_DCMASE	0.0065	0.0251	0.9826	0.0299	0.9866	0.0308
40	FROST_MF	0.004	0.0052	0.985	0.0189	0.9894	0.0137
40	FROST_US	0.0041	0.0052	0.9847	0.0189	0.9892	0.0137
40	MASE	0.0424	0.0687	0.8927	0.1269	0.9066	0.1277
40	MF	0.0322	0.0483	0.9016	0.1247	0.9199	0.1129
40	OLMF	0.2408	0.2519	0.6449	0.3574	0.5938	0.3823
40	S-A^2-Bias-adj	0.0758	0.157	0.8696	0.2444	0.8666	0.2518
40	Sum A	0.5147	0.2561	0.2331	0.3315	0.2282	0.345
40	US	0.0322	0.0528	0.9038	0.1319	0.9207	0.1216
40	graph-tool	0.2156	0.1706	0.6887	0.2076	0.6136	0.2625
50	DC_MASE	0.0063	0.0104	0.9776	0.0354	0.9835	0.0271
50	FROST_DCMASE	0.0019	0.0031	0.9926	0.0119	0.9948	0.0084
50	FROST_MF	0.002	0.0031	0.9925	0.0119	0.9947	0.0084
50	FROST_US	0.002	0.0031	0.9925	0.0118	0.9947	0.0083
50	MASE	0.0261	0.0486	0.9288	0.0944	0.9398	0.0934
50	MF	0.0226	0.0356	0.9277	0.1005	0.9426	0.0869
50	OLMF	0.2218	0.2747	0.6757	0.3886	0.6403	0.4064
50	S-A^2-Bias-adj	0.0724	0.1568	0.8765	0.2379	0.8739	0.2451
50	Sum A	0.4947	0.2485	0.254	0.3194	0.2486	0.332
50	US	0.022	0.0352	0.9303	0.0989	0.9441	0.0861
50	graph-tool	0.2201	0.1676	0.6921	0.1994	0.6158	0.2606
