parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
1	DC_MASE	0.6059	0.0501	0.0704	0.0345	0.0582	0.0358
1	FROST_DCMASE	0.6076	0.0521	0.0694	0.0354	0.0578	0.0369
1	FROST_MF	0.6201	0.0498	0.0615	0.0348	0.0475	0.0354
1	FROST_US	0.6154	0.0531	0.0635	0.0343	0.051	0.0366
1	MASE	0.6031	0.0499	0.0725	0.0336	0.0603	0.0357
1	MF	0.6283	0.04	0.0537	0.0267	0.0401	0.0264
1	OLMF	0.5543	0.0478	0.1217	0.0395	0.0751	0.0313
1	S-A^2-Bias-adj	0.5907	0.0457	0.0765	0.0317	0.0641	0.0333
1	Sum A	0.6032	0.0498	0.0724	0.0335	0.0602	0.0356
1	US	0.6236	0.0382	0.0562	0.0252	0.0422	0.0247
1	graph-tool	0.6918	0.033	0.0286	0.0172	0.0099	0.0139
2	DC_MASE	0.5761	0.0522	0.0941	0.0373	0.0801	0.0382
2	FROST_DCMASE	0.5469	0.0786	0.1295	0.0647	0.1193	0.0713
2	FROST_MF	0.557	0.0819	0.1219	0.0697	0.112	0.0764
2	FROST_US	0.5651	0.0695	0.1153	0.059	0.1044	0.0643
2	MASE	0.5851	0.0527	0.0915	0.0409	0.0774	0.0433
2	MF	0.6333	0.0376	0.0497	0.0236	0.0353	0.024
2	OLMF	0.3701	0.0548	0.3279	0.0518	0.2381	0.0636
2	S-A^2-Bias-adj	0.468	0.0623	0.1768	0.0483	0.1704	0.0559
2	Sum A	0.4448	0.0622	0.2216	0.0594	0.2166	0.0682
2	US	0.6322	0.0334	0.0499	0.0218	0.0357	0.0204
2	graph-tool	0.6304	0.06	0.0881	0.0605	0.046	0.0457
3	DC_MASE	0.5462	0.0613	0.1249	0.0481	0.1102	0.052
3	FROST_DCMASE	0.4722	0.1075	0.223	0.1076	0.2174	0.1212
3	FROST_MF	0.4973	0.0927	0.1928	0.0941	0.1845	0.1053
3	FROST_US	0.4814	0.1018	0.2114	0.1015	0.2057	0.1121
3	MASE	0.5483	0.0632	0.1257	0.0553	0.1109	0.0586
3	MF	0.6184	0.0459	0.0606	0.0294	0.0472	0.03
3	OLMF	0.3026	0.0602	0.4449	0.0559	0.3296	0.1002
3	S-A^2-Bias-adj	0.3585	0.0726	0.2993	0.0681	0.3063	0.081
3	Sum A	0.2662	0.0957	0.4253	0.1018	0.4519	0.1219
3	US	0.6081	0.0416	0.0663	0.0289	0.0528	0.0288
3	graph-tool	0.5221	0.0862	0.2396	0.1043	0.1538	0.0888
5	DC_MASE	0.4799	0.0708	0.1892	0.0641	0.1755	0.0691
5	FROST_DCMASE	0.3192	0.1158	0.4293	0.1245	0.4341	0.1468
5	FROST_MF	0.3614	0.1271	0.3799	0.14	0.3823	0.1573
5	FROST_US	0.3378	0.1202	0.4077	0.1306	0.4111	0.152
5	MASE	0.4863	0.0691	0.1889	0.0655	0.1768	0.0711
