parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
1	DC_MASE	0.4319	0.0932	0.1662	0.0843	0.1707	0.1018
1	FROST_DCMASE	0.43	0.0969	0.1716	0.0903	0.1785	0.1068
1	FROST_MF	0.4318	0.1031	0.1699	0.0983	0.1764	0.1154
1	FROST_US	0.4353	0.0938	0.1664	0.0877	0.1713	0.1042
1	MASE	0.4304	0.0911	0.1677	0.0817	0.1725	0.0992
1	MF	0.4693	0.0743	0.124	0.0639	0.1225	0.0754
1	OLMF	0.3689	0.071	0.2447	0.0819	0.2026	0.085
1	S-A^2-Bias-adj	0.4181	0.0947	0.1747	0.0872	0.1808	0.1049
1	Sum A	0.4303	0.0912	0.1679	0.0819	0.1727	0.0994
1	US	0.4744	0.082	0.117	0.0673	0.115	0.0787
1	graph-tool	0.5731	0.0657	0.0656	0.0586	0.039	0.0503
2	DC_MASE	0.4059	0.1029	0.1983	0.1027	0.2043	0.1221
2	FROST_DCMASE	0.3415	0.1426	0.3317	0.1956	0.3398	0.2153
2	FROST_MF	0.3699	0.1344	0.28	0.1833	0.2861	0.2028
2	FROST_US	0.3735	0.1207	0.2683	0.1596	0.2715	0.1752
2	MASE	0.365	0.1019	0.2656	0.1221	0.2698	0.1385
2	MF	0.4807	0.0802	0.1187	0.0702	0.1096	0.0771
2	OLMF	0.4869	0.0337	0.2025	0.0564	0.1375	0.0542
2	S-A^2-Bias-adj	0.4884	0.0431	0.1879	0.0636	0.1343	0.0632
2	Sum A	0.4309	0.0397	0.2576	0.0648	0.2145	0.069
2	US	0.4821	0.0664	0.1165	0.0604	0.1068	0.0642
2	graph-tool	0.4019	0.1442	0.2791	0.1915	0.2566	0.2129
3	DC_MASE	0.3359	0.1165	0.2885	0.1343	0.3036	0.1618
3	FROST_DCMASE	0.2291	0.1431	0.5323	0.2081	0.5404	0.2345
3	FROST_MF	0.2578	0.1436	0.4668	0.2163	0.475	0.2359
3	FROST_US	0.2515	0.1401	0.4687	0.2177	0.4804	0.2359
3	MASE	0.3059	0.1294	0.3658	0.1723	0.3744	0.1983
3	MF	0.4115	0.0932	0.1793	0.0913	0.1846	0.1061
3	OLMF	0.4515	0.1162	0.2808	0.1203	0.186	0.1461
3	S-A^2-Bias-adj	0.49	0.0265	0.2289	0.0482	0.1407	0.0453
3	Sum A	0.3555	0.1396	0.3719	0.1533	0.3123	0.2047
3	US	0.4051	0.0905	0.1839	0.0933	0.19	0.109
3	graph-tool	0.2467	0.1942	0.5512	0.255	0.5324	0.3029
5	DC_MASE	0.231	0.1114	0.4475	0.1552	0.4771	0.181
5	FROST_DCMASE	0.0862	0.121	0.8302	0.1905	0.8285	0.2112
5	FROST_MF	0.1008	0.1254	0.7874	0.2262	0.7869	0.2422
5	FROST_US	0.1015	0.1278	0.796	0.2139	0.7935	0.2337
5	MASE	0.2979	0.1841	0.4573	0.2337	0.4291	0.2888
5	MF	0.3362	0.0912	0.2646	0.1034	0.2841	0.1233
5	OLMF	0.4958	0.0241	0.2663	0.0475	0.1471	0.0453
5	S-A^2-Bias-adj	0.473	0.0519	0.2817	0.0867	0.1814	0.1013
5	Sum A	0.4515	0.0563	0.321	0.0957	0.2182	0.1113
5	US	0.3334	0.0898	0.266	0.1008	0.2875	0.1186
5	graph-tool	0.2973	0.2012	0.5696	0.279	0.5011	0.3353
7	DC_MASE	0.1393	0.078	0.6037	0.1384	0.6465	0.1507
7	FROST_DCMASE	0.0139	0.052	0.9708	0.0861	0.9706	0.0977
7	FROST_MF	0.0233	0.0664	0.949	0.1218	0.9481	0.1333
7	FROST_US	0.0263	0.0649	0.9434	0.123	0.9413	0.135
7	MASE	0.3697	0.1735	0.4041	0.2276	0.3367	0.2781
7	MF	0.2811	0.091	0.3391	0.1171	0.3665	0.1364
7	OLMF	0.4636	0.074	0.3275	0.1162	0.2116	0.1384
7	S-A^2-Bias-adj	0.4392	0.0721	0.3526	0.1316	0.2554	0.1504
7	Sum A	0.4177	0.0723	0.4032	0.1304	0.3032	0.1517
7	US	0.2643	0.084	0.3598	0.1114	0.3925	0.13
7	graph-tool	0.3785	0.16	0.4761	0.2343	0.3755	0.2795
10	DC_MASE	0.0713	0.0375	0.7574	0.099	0.8009	0.0947
10	FROST_DCMASE	3e-04	0.0015	0.9985	0.0065	0.999	0.0044
10	FROST_MF	0.0018	0.0147	0.9953	0.0325	0.9955	0.035
10	FROST_US	0.002	0.018	0.9956	0.0356	0.9954	0.04
10	MASE	0.4325	0.0997	0.355	0.16	0.2625	0.1842
10	MF	0.1919	0.0656	0.4758	0.1191	0.5218	0.1314
10	OLMF	0.4101	0.0883	0.4257	0.148	0.3213	0.1728
10	S-A^2-Bias-adj	0.3647	0.0578	0.4977	0.1153	0.4176	0.1255
10	Sum A	0.3393	0.023	0.5593	0.0496	0.4773	0.0512
10	US	0.1845	0.0636	0.491	0.1099	0.537	0.1207
10	graph-tool	0.3619	0.1708	0.5038	0.2474	0.4054	0.2954
15	DC_MASE	0.0279	0.0354	0.8998	0.0696	0.9237	0.0601
15	FROST_DCMASE	0.0033	0.0333	0.9958	0.0421	0.9957	0.0432
15	FROST_MF	0	0	1	0	1	0
15	FROST_US	0	0	1	0	1	0
15	MASE	0.4341	0.0898	0.3736	0.1554	0.2723	0.1789
15	MF	0.1099	0.0426	0.6479	0.101	0.7016	0.101
15	OLMF	0.4355	0.0804	0.3953	0.1389	0.2791	0.1641
15	S-A^2-Bias-adj	0.3667	0.065	0.5072	0.1295	0.4187	0.1406
15	Sum A	0.3523	0.052	0.5417	0.0966	0.4524	0.1091
15	US	0.1105	0.0423	0.6461	0.105	0.6997	0.1033
15	graph-tool	0.3694	0.1578	0.496	0.2316	0.396	0.2762
20	DC_MASE	0.0111	0.0101	0.9536	0.0407	0.9671	0.0299
20	FROST_DCMASE	0	0	1	0	1	0
20	FROST_MF	0	0	1	0	1	0
20	FROST_US	0	0	1	0	1	0
20	MASE	0.4202	0.0818	0.4098	0.1495	0.3067	0.1711
20	MF	0.0663	0.0273	0.7638	0.0801	0.8118	0.0731
20	OLMF	0.4039	0.0917	0.4501	0.1539	0.3392	0.1785
20	S-A^2-Bias-adj	0.3472	0.0453	0.5498	0.0902	0.4624	0.0983
20	Sum A	0.3334	7e-04	0.5791	0.003	0.493	0.002
20	US	0.0675	0.0265	0.7604	0.0768	0.8085	0.0702
20	graph-tool	0.3726	0.148	0.4923	0.2182	0.3909	0.2605
30	DC_MASE	0.0046	0.0333	0.9901	0.0433	0.9919	0.0436
30	FROST_DCMASE	0.0033	0.0333	0.9958	0.0421	0.9957	0.0432
30	FROST_MF	0	0	1	0	1	0
30	FROST_US	0	0	1	0	1	0
30	MASE	0.4007	0.0815	0.4478	0.156	0.3488	0.1735
30	MF	0.0253	0.0125	0.8974	0.0459	0.9256	0.0358
30	OLMF	0.395	0.0992	0.467	0.1594	0.3556	0.1873
30	S-A^2-Bias-adj	0.3434	0.0398	0.5602	0.0732	0.4719	0.0832
30	Sum A	0.3333	0	0.5794	0	0.4932	0
30	US	0.0243	0.0151	0.9021	0.0553	0.9283	0.0434
30	graph-tool	0.3648	0.1719	0.5003	0.2494	0.4009	0.2978
40	DC_MASE	1e-04	9e-04	0.9994	0.0042	0.9996	0.0028
40	FROST_DCMASE	0	0	1	0	1	0
40	FROST_MF	0	0	1	0	1	0
40	FROST_US	0	0	1	0	1	0
40	MASE	0.3851	0.0774	0.4828	0.1449	0.384	0.1634
40	MF	0.0081	0.008	0.9653	0.0328	0.9757	0.0238
40	OLMF	0.3869	0.1055	0.4759	0.166	0.3653	0.194
40	S-A^2-Bias-adj	0.3351	0.0167	0.5762	0.0291	0.4896	0.0344
40	Sum A	0.3333	0	0.5794	0	0.4932	0
40	US	0.0074	0.0061	0.9675	0.026	0.9778	0.0181
40	graph-tool	0.3611	0.1317	0.5174	0.196	0.4205	0.2339
50	DC_MASE	0.0034	0.0333	0.9955	0.0421	0.9955	0.0432
50	FROST_DCMASE	0.0033	0.0333	0.9958	0.0421	0.9957	0.0432
50	FROST_MF	0	0	1	0	1	0
50	FROST_US	0	0	1	0	1	0
50	MASE	0.3784	0.0743	0.4973	0.1354	0.399	0.1553
50	MF	0.0017	0.0036	0.9922	0.0162	0.9948	0.0109
50	OLMF	0.4033	0.101	0.4528	0.1629	0.3386	0.1904
50	S-A^2-Bias-adj	0.335	0.0167	0.5765	0.029	0.4898	0.0343
50	Sum A	0.3333	0	0.5794	0	0.4932	0
