parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
1	DC_MASE	0.4258	0.1034	0.1775	0.0954	0.1836	0.1144
1	FROST_DCMASE	0.4226	0.1101	0.1838	0.1043	0.1924	0.1231
1	FROST_MF	0.4247	0.1073	0.1782	0.1047	0.1869	0.1226
1	FROST_US	0.4303	0.1087	0.1732	0.107	0.1806	0.1264
1	MASE	0.4255	0.1029	0.1787	0.095	0.1839	0.1144
1	MF	0.4586	0.0919	0.1358	0.0797	0.1354	0.0948
1	OLMF	0.3477	0.0635	0.2546	0.0688	0.2328	0.0775
1	S-A^2-Bias-adj	0.3928	0.0881	0.1901	0.084	0.2007	0.1013
1	Sum A	0.4255	0.1029	0.1787	0.095	0.1839	0.1144
1	US	0.4542	0.0877	0.1391	0.0776	0.1391	0.0908
1	graph-tool	0.5705	0.0625	0.0647	0.0565	0.0411	0.0532
2	DC_MASE	0.3946	0.0966	0.2187	0.107	0.2234	0.1242
2	FROST_DCMASE	0.3602	0.1106	0.2929	0.131	0.306	0.151
2	FROST_MF	0.3348	0.1226	0.3161	0.1439	0.3358	0.1671
2	FROST_US	0.3267	0.1183	0.3319	0.1403	0.3521	0.1638
2	MASE	0.3899	0.091	0.2233	0.1021	0.2286	0.1161
2	MF	0.4594	0.0759	0.1369	0.0695	0.1315	0.0788
2	OLMF	0.2063	0.0595	0.49	0.078	0.4758	0.1094
2	S-A^2-Bias-adj	0.3018	0.109	0.3286	0.1275	0.3606	0.1479
2	Sum A	0.1889	0.0792	0.4831	0.1076	0.5338	0.1229
2	US	0.4557	0.0775	0.1372	0.0681	0.1324	0.0776
2	graph-tool	0.3575	0.1298	0.3056	0.1452	0.2871	0.1694
3	DC_MASE	0.3337	0.1006	0.2928	0.1141	0.307	0.1364
3	FROST_DCMASE	0.2646	0.1405	0.4405	0.1681	0.4691	0.1989
3	FROST_MF	0.2405	0.1281	0.4653	0.1554	0.4982	0.1864
3	FROST_US	0.235	0.1308	0.4744	0.1573	0.5084	0.1866
3	MASE	0.3335	0.1035	0.3047	0.1182	0.3182	0.1409
3	MF	0.4111	0.0809	0.1806	0.0753	0.1843	0.0887
3	OLMF	0.1597	0.0634	0.5854	0.0897	0.5775	0.137
3	S-A^2-Bias-adj	0.2575	0.1188	0.4115	0.1508	0.4479	0.174
3	Sum A	0.1106	0.0254	0.6322	0.0665	0.6949	0.0638
3	US	0.4067	0.0912	0.1821	0.0882	0.1891	0.1037
3	graph-tool	0.2339	0.1238	0.4932	0.1304	0.4817	0.177
5	DC_MASE	0.2217	0.0896	0.4422	0.1237	0.4784	0.1428
5	FROST_DCMASE	0.1232	0.1083	0.6733	0.1436	0.7176	0.1643
5	FROST_MF	0.1071	0.0887	0.6898	0.1297	0.7377	0.1449
5	FROST_US	0.1119	0.0926	0.6855	0.1261	0.7316	0.1456
5	MASE	0.2389	0.1135	0.4371	0.1568	0.4686	0.1821
