parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
1	DC_MASE	0.4095	0.2101	0.2381	0.2749	0.2489	0.2992
1	FROST_DCMASE	0.3927	0.2217	0.2646	0.2944	0.2786	0.3199
1	FROST_MF	0.4017	0.2198	0.2561	0.2912	0.2675	0.3166
1	FROST_US	0.3942	0.2223	0.2638	0.2928	0.2771	0.318
1	MASE	0.4108	0.2097	0.2377	0.2756	0.2479	0.2999
1	MF	0.4293	0.1921	0.2011	0.2499	0.2102	0.2727
1	OLMF	0.5255	0.1449	0.1158	0.1684	0.0814	0.1334
1	S-A^2-Bias-adj	0.4085	0.21	0.2395	0.2755	0.2496	0.2995
1	Sum A	0.4108	0.2097	0.2377	0.2756	0.2479	0.2999
1	US	0.4393	0.195	0.1963	0.2514	0.2042	0.2748
1	graph-tool	0.47	0.2259	0.2068	0.2893	0.2019	0.308
2	DC_MASE	0.3492	0.2276	0.3353	0.3231	0.3491	0.3475
2	FROST_DCMASE	0.3289	0.2292	0.361	0.3511	0.3758	0.3664
2	FROST_MF	0.3319	0.218	0.3425	0.3337	0.3584	0.3462
2	FROST_US	0.3385	0.2217	0.3405	0.3403	0.354	0.3532
2	MASE	0.3524	0.2015	0.3	0.3038	0.3143	0.3171
2	MF	0.4244	0.1751	0.2162	0.2288	0.2135	0.241
2	OLMF	0.5285	0.1546	0.1613	0.2184	0.1108	0.2029
2	S-A^2-Bias-adj	0.5005	0.1385	0.2027	0.2088	0.1406	0.2032
2	Sum A	0.4763	0.1678	0.2051	0.2332	0.1642	0.2369
2	US	0.4309	0.1583	0.1987	0.2039	0.1889	0.2083
2	graph-tool	0.3493	0.2635	0.3905	0.386	0.386	0.4032
3	DC_MASE	0.3007	0.2169	0.3946	0.3246	0.413	0.3463
3	FROST_DCMASE	0.2629	0.23	0.471	0.3804	0.4877	0.389
3	FROST_MF	0.2831	0.2302	0.4392	0.3815	0.4534	0.389
3	FROST_US	0.2777	0.226	0.4461	0.3756	0.4592	0.3838
3	MASE	0.3048	0.2112	0.3874	0.3339	0.4005	0.3524
3	MF	0.3793	0.1829	0.2579	0.2414	0.2693	0.2645
3	OLMF	0.5168	0.1779	0.1812	0.2482	0.1306	0.2342
3	S-A^2-Bias-adj	0.4902	0.1233	0.23	0.1955	0.1525	0.1985
3	Sum A	0.4803	0.1961	0.2065	0.2729	0.175	0.2836
3	US	0.3778	0.1778	0.2543	0.2341	0.2649	0.2532
3	graph-tool	0.3451	0.2803	0.4536	0.4111	0.4263	0.4354
5	DC_MASE	0.1954	0.1939	0.5637	0.3311	0.589	0.3428
5	FROST_DCMASE	0.1525	0.196	0.6752	0.3509	0.691	0.3532
5	FROST_MF	0.1803	0.2056	0.6223	0.3654	0.6361	0.3688
5	FROST_US	0.1674	0.1994	0.6412	0.3652	0.6563	0.3669
5	MASE	0.3022	0.2375	0.4569	0.3513	0.4425	0.3836
5	MF	0.2951	0.2013	0.391	0.3033	0.4111	0.3229
5	OLMF	0.5435	0.1532	0.1581	0.2424	0.1083	0.2343
5	S-A^2-Bias-adj	0.4877	0.0959	0.2554	0.1585	0.1602	0.1651
5	Sum A	0.5444	0.1265	0.1407	0.1861	0.0908	0.174
5	US	0.2838	0.1925	0.3961	0.2931	0.4191	0.3132
5	graph-tool	0.3014	0.28	0.5485	0.416	0.5061	0.4501
7	DC_MASE	0.1143	0.1507	0.7107	0.2775	0.7389	0.2821
7	FROST_DCMASE	0.0729	0.1494	0.8339	0.2816	0.847	0.2793
7	FROST_MF	0.0985	0.1656	0.7874	0.3072	0.7987	0.3059
7	FROST_US	0.0907	0.1667	0.7986	0.3067	0.8119	0.3042
7	MASE	0.3614	0.2266	0.4208	0.3431	0.3666	0.3792
7	MF	0.2177	0.1806	0.5077	0.3023	0.5351	0.3172
7	OLMF	0.5663	0.0834	0.1303	0.1488	0.0673	0.1005
7	S-A^2-Bias-adj	0.4875	0.0526	0.2769	0.1086	0.1654	0.108
7	Sum A	0.5668	0.083	0.1183	0.1312	0.0648	0.0957
7	US	0.2047	0.1744	0.5239	0.3002	0.5531	0.3119
7	graph-tool	0.2649	0.2515	0.6173	0.3673	0.5602	0.4164
10	DC_MASE	0.0545	0.0914	0.8435	0.201	0.8653	0.1923
10	FROST_DCMASE	0.0179	0.0629	0.9556	0.1269	0.9605	0.1225
10	FROST_MF	0.0179	0.0619	0.9507	0.1402	0.9569	0.134
10	FROST_US	0.0241	0.069	0.938	0.1563	0.9435	0.1521
10	MASE	0.4041	0.1882	0.3872	0.287	0.3015	0.3248
10	MF	0.1229	0.1262	0.6702	0.2578	0.7048	0.2581
10	OLMF	0.5603	0.0734	0.1545	0.1487	0.0786	0.0932
10	S-A^2-Bias-adj	0.4703	0.0637	0.3207	0.1181	0.2037	0.1323
10	Sum A	0.5508	0.0732	0.1495	0.1296	0.0826	0.0904
10	US	0.1233	0.1274	0.673	0.2643	0.7051	0.2634
10	graph-tool	0.2469	0.2387	0.6507	0.3409	0.585	0.403
15	DC_MASE	0.0193	0.0369	0.9318	0.1114	0.9457	0.0978
15	FROST_DCMASE	0.0012	0.0049	0.9949	0.0201	0.9964	0.0143
15	FROST_MF	0.0041	0.0219	0.9877	0.0593	0.9893	0.0553
15	FROST_US	0.0064	0.041	0.9852	0.078	0.9865	0.0771
15	MASE	0.4319	0.1289	0.3601	0.2021	0.2591	0.2293
15	MF	0.0646	0.0822	0.8012	0.2017	0.8314	0.1902
15	OLMF	0.5565	0.0655	0.1598	0.1381	0.0798	0.0785
15	S-A^2-Bias-adj	0.4552	0.073	0.3511	0.1344	0.2357	0.1526
15	Sum A	0.5647	0.0754	0.1248	0.1298	0.0678	0.0925
15	US	0.0678	0.094	0.7991	0.2055	0.8284	0.1988
15	graph-tool	0.2317	0.2355	0.6748	0.3331	0.6113	0.3981
20	DC_MASE	0.0118	0.0478	0.9709	0.0734	0.9762	0.0688
20	FROST_DCMASE	0.0067	0.0469	0.9916	0.0592	0.9914	0.0608
20	FROST_MF	0	0	1	0	1	0
20	FROST_US	0	0	1	0	1	0
20	MASE	0.4229	0.1275	0.3887	0.1999	0.2858	0.2301
20	MF	0.0309	0.0547	0.897	0.1485	0.9165	0.135
20	OLMF	0.5402	0.0789	0.1901	0.1512	0.1036	0.1062
20	S-A^2-Bias-adj	0.4421	0.0794	0.3823	0.143	0.2659	0.1653
20	Sum A	0.5494	0.0804	0.1547	0.1427	0.0886	0.1074
20	US	0.0303	0.048	0.8959	0.1443	0.916	0.1258
20	graph-tool	0.2166	0.2303	0.699	0.3244	0.6395	0.3878
30	DC_MASE	0.0043	0.0335	0.9917	0.0449	0.9929	0.0445
30	FROST_DCMASE	0.0033	0.0333	0.9958	0.0421	0.9957	0.0432
30	FROST_MF	0	0	1	0	1	0
30	FROST_US	0	0	1	0	1	0
30	MASE	0.4154	0.0929	0.4223	0.1661	0.3172	0.1882
30	MF	0.0072	0.0168	0.9715	0.0606	0.979	0.0479
30	OLMF	0.5407	0.0756	0.1944	0.1497	0.1032	0.101
30	S-A^2-Bias-adj	0.4333	0.0821	0.402	0.1458	0.2861	0.1699
30	Sum A	0.5531	0.0775	0.1495	0.1377	0.0832	0.1002
30	US	0.0087	0.0192	0.9662	0.0682	0.9746	0.0547
30	graph-tool	0.1583	0.2201	0.7787	0.3095	0.7345	0.3707
40	DC_MASE	0.0067	0.0469	0.9913	0.0592	0.9912	0.0608
40	FROST_DCMASE	0.0067	0.0469	0.9916	0.0592	0.9914	0.0608
40	FROST_MF	0	0	1	0	1	0
40	FROST_US	0	0	1	0	1	0
40	MASE	0.4235	0.0833	0.4147	0.1514	0.3044	0.1738
40	MF	0.0016	0.0075	0.9936	0.0277	0.9953	0.0218
40	OLMF	0.5277	0.0809	0.2164	0.1603	0.1221	0.1198
40	S-A^2-Bias-adj	0.4217	0.0835	0.4227	0.1482	0.31	0.1731
40	Sum A	0.5591	0.0694	0.1415	0.1208	0.0727	0.0717
40	US	0.0013	0.0054	0.9945	0.0228	0.9962	0.016
