parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
10	DC_MASE	0.334	0.2868	0.4643	0.3899	0.4641	0.4074
10	FROST_DCMASE	0.2444	0.2917	0.6112	0.3924	0.6129	0.4032
10	FROST_MF	0.2906	0.2894	0.5381	0.3981	0.5365	0.4058
10	FROST_US	0.3096	0.2962	0.5273	0.4116	0.5218	0.4196
10	MASE	0.559	0.1434	0.2651	0.2293	0.182	0.1775
10	MF	0.457	0.2955	0.3213	0.3405	0.3197	0.3618
10	OLMF	0.6226	0.1728	0.2077	0.2646	0.1228	0.1843
10	S-A^2-Bias-adj	0.507	0.1452	0.3538	0.2207	0.2075	0.2037
10	Sum A	0.629	0.1679	0.1725	0.2273	0.1113	0.1605
10	US	0.4382	0.2901	0.328	0.3476	0.331	0.3713
10	graph-tool	0.519	0.226	0.3848	0.2977	0.2467	0.3007
