parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
1	DC_MASE	0.4763	0.19	0.1638	0.2431	0.1641	0.2636
1	FROST_DCMASE	0.4631	0.202	0.1775	0.2616	0.1822	0.2849
1	FROST_MF	0.4603	0.2053	0.1818	0.2637	0.1881	0.2879
1	FROST_US	0.4574	0.2047	0.1818	0.262	0.1883	0.2872
1	MASE	0.4755	0.1894	0.1649	0.2427	0.165	0.2637
1	MF	0.4844	0.1829	0.1443	0.22	0.1476	0.2433
1	OLMF	0.5285	0.1662	0.111	0.2126	0.0965	0.2148
1	S-A^2-Bias-adj	0.4736	0.1855	0.1633	0.2388	0.1634	0.2583
1	Sum A	0.4755	0.1894	0.1649	0.2427	0.165	0.2637
1	US	0.4784	0.1862	0.1517	0.232	0.1556	0.2556
1	graph-tool	0.5136	0.2052	0.1518	0.2615	0.1467	0.2803
2	DC_MASE	0.3996	0.2149	0.2614	0.3087	0.2689	0.3299
2	FROST_DCMASE	0.3775	0.2293	0.2976	0.3228	0.3111	0.3466
2	FROST_MF	0.3914	0.223	0.2825	0.3172	0.2927	0.339
2	FROST_US	0.3681	0.2325	0.3093	0.3263	0.3247	0.3503
2	MASE	0.4229	0.1866	0.2085	0.2478	0.2151	0.2681
2	MF	0.4623	0.1636	0.172	0.2157	0.1663	0.2261
2	OLMF	0.4986	0.1937	0.1651	0.2817	0.1476	0.2807
2	S-A^2-Bias-adj	0.3881	0.2236	0.2847	0.3226	0.2973	0.3413
2	Sum A	0.4717	0.1908	0.1708	0.2526	0.1724	0.274
2	US	0.4564	0.1739	0.18	0.2271	0.1733	0.2381
2	graph-tool	0.4293	0.242	0.2677	0.3448	0.2601	0.3624
3	DC_MASE	0.3286	0.2254	0.3674	0.3284	0.3825	0.3511
3	FROST_DCMASE	0.2967	0.2445	0.4261	0.3501	0.4492	0.3737
3	FROST_MF	0.3034	0.2412	0.4172	0.3506	0.4371	0.3736
3	FROST_US	0.2877	0.2382	0.4336	0.3436	0.457	0.367
3	MASE	0.3555	0.2084	0.306	0.2924	0.3201	0.3154
3	MF	0.4033	0.1876	0.2343	0.2429	0.243	0.2629
3	OLMF	0.4439	0.2394	0.2493	0.3512	0.2359	0.3575
3	S-A^2-Bias-adj	0.3403	0.2476	0.3766	0.3661	0.3904	0.3865
3	Sum A	0.4443	0.2175	0.2079	0.2869	0.2156	0.3131
3	US	0.3985	0.1886	0.2326	0.2424	0.2435	0.2638
3	graph-tool	0.3293	0.2584	0.4104	0.3716	0.4078	0.3897
5	DC_MASE	0.2243	0.1994	0.5094	0.3136	0.5386	0.3318
5	FROST_DCMASE	0.1805	0.2005	0.6034	0.3112	0.6353	0.3258
5	FROST_MF	0.1669	0.1902	0.6126	0.3037	0.648	0.3161
5	FROST_US	0.1635	0.1903	0.6184	0.3041	0.6546	0.3162
5	MASE	0.2391	0.1922	0.469	0.2991	0.4985	0.3191
5	MF	0.2887	0.1884	0.3784	0.2741	0.405	0.2955
5	OLMF	0.4106	0.2591	0.3134	0.3938	0.2996	0.4005
5	S-A^2-Bias-adj	0.2838	0.2475	0.47	0.3851	0.4833	0.4018
5	Sum A	0.4439	0.2128	0.2098	0.2831	0.2156	0.3079
5	US	0.2791	0.181	0.3892	0.2705	0.4164	0.2897
5	graph-tool	0.2637	0.2492	0.5358	0.3718	0.5173	0.3961
7	DC_MASE	0.1496	0.1627	0.6375	0.285	0.6693	0.2926
7	FROST_DCMASE	0.1074	0.1467	0.7284	0.2454	0.7636	0.2502
7	FROST_MF	0.1075	0.1521	0.7269	0.2575	0.7611	0.2628
7	FROST_US	0.1103	0.1531	0.7228	0.2658	0.7553	0.2732
7	MASE	0.1705	0.1586	0.5773	0.2755	0.6126	0.2872
7	MF	0.2168	0.1723	0.4906	0.2876	0.5234	0.3022
7	OLMF	0.4013	0.2611	0.3316	0.4034	0.316	0.4105
7	S-A^2-Bias-adj	0.2671	0.2539	0.5065	0.4022	0.5156	0.4165
7	Sum A	0.4876	0.1955	0.1593	0.2615	0.1596	0.2818
7	US	0.204	0.1611	0.501	0.2705	0.5389	0.2842
7	graph-tool	0.2469	0.2316	0.5715	0.3415	0.5412	0.373
10	DC_MASE	0.082	0.1124	0.7676	0.2223	0.801	0.2199
10	FROST_DCMASE	0.0516	0.0888	0.8463	0.171	0.8758	0.1643
10	FROST_MF	0.0557	0.1021	0.839	0.1915	0.8669	0.1911
10	FROST_US	0.0478	0.0884	0.8495	0.1737	0.8789	0.1707
10	MASE	0.1025	0.1178	0.7097	0.2296	0.7481	0.2311
10	MF	0.1358	0.1368	0.6348	0.2549	0.6764	0.2579
10	OLMF	0.3979	0.2701	0.3416	0.4251	0.3271	0.4324
10	S-A^2-Bias-adj	0.2297	0.2454	0.5758	0.4042	0.5798	0.4156
10	Sum A	0.4891	0.183	0.1525	0.249	0.1517	0.2654
10	US	0.1339	0.1303	0.6347	0.2451	0.6758	0.2481
10	graph-tool	0.1905	0.2083	0.6608	0.3112	0.6288	0.3467
15	DC_MASE	0.037	0.0497	0.872	0.1297	0.8998	0.1122
15	FROST_DCMASE	0.0207	0.0373	0.926	0.0804	0.9449	0.068
15	FROST_MF	0.0172	0.0195	0.9311	0.0709	0.9496	0.0557
15	FROST_US	0.0173	0.0196	0.9302	0.0723	0.9491	0.0562
15	MASE	0.05	0.0588	0.8324	0.158	0.8629	0.1462
15	MF	0.0702	0.077	0.774	0.1838	0.8133	0.1741
15	OLMF	0.3669	0.2641	0.4076	0.4224	0.3833	0.4285
15	S-A^2-Bias-adj	0.1679	0.2174	0.6788	0.3685	0.6826	0.376
15	Sum A	0.4905	0.2004	0.163	0.2779	0.1614	0.2969
15	US	0.0689	0.0654	0.7725	0.1773	0.8124	0.1635
15	graph-tool	0.1357	0.1711	0.7432	0.2577	0.719	0.2988
20	DC_MASE	0.0137	0.0177	0.9447	0.0677	0.9596	0.0513
20	FROST_DCMASE	0.0081	0.0098	0.9653	0.0397	0.9758	0.0288
20	FROST_MF	0.0081	0.0097	0.9656	0.0393	0.976	0.0285
20	FROST_US	0.0081	0.01	0.9656	0.0405	0.976	0.0293
20	MASE	0.0223	0.0237	0.914	0.0825	0.9352	0.0665
20	MF	0.0378	0.036	0.8593	0.1154	0.8919	0.098
20	OLMF	0.3539	0.2561	0.426	0.4125	0.3964	0.4166
20	S-A^2-Bias-adj	0.1514	0.2059	0.7033	0.3563	0.7051	0.3623
20	Sum A	0.4996	0.1883	0.1543	0.2633	0.151	0.2791
20	US	0.0367	0.0378	0.8646	0.1216	0.8955	0.1031
20	graph-tool	0.1243	0.1627	0.7734	0.242	0.7476	0.288
30	DC_MASE	0.0047	0.0071	0.9797	0.0305	0.986	0.0213
30	FROST_DCMASE	0.0027	0.0043	0.9882	0.0191	0.992	0.013
30	FROST_MF	0.0027	0.0044	0.9879	0.0191	0.9918	0.0131
30	FROST_US	0.0027	0.0044	0.9879	0.0191	0.9918	0.0131
30	MASE	0.0088	0.0097	0.9627	0.0394	0.9737	0.0287
30	MF	0.0141	0.0155	0.9409	0.0614	0.9582	0.0453
30	OLMF	0.2835	0.271	0.5475	0.4366	0.5212	0.4476
30	S-A^2-Bias-adj	0.0934	0.1605	0.8055	0.2895	0.8086	0.2938
30	Sum A	0.4728	0.2013	0.1884	0.2951	0.1848	0.3092
30	US	0.0172	0.0174	0.9304	0.066	0.9493	0.0505
30	graph-tool	0.0797	0.1184	0.8355	0.1944	0.8179	0.2296
40	DC_MASE	0.0023	0.0048	0.9896	0.0209	0.993	0.0143
40	FROST_DCMASE	3e-04	0.0015	0.9985	0.0065	0.999	0.0044
40	FROST_MF	3e-04	0.0015	0.9985	0.0065	0.999	0.0044
40	FROST_US	3e-04	0.0015	0.9985	0.0065	0.999	0.0044
40	MASE	0.0037	0.0059	0.9838	0.0253	0.9888	0.0176
40	MF	0.0063	0.0093	0.973	0.0385	0.9811	0.0275
40	OLMF	0.2886	0.2653	0.54	0.4308	0.5117	0.4392
40	S-A^2-Bias-adj	0.0803	0.1443	0.8391	0.2646	0.8355	0.2714
40	Sum A	0.4613	0.1994	0.1996	0.2895	0.1954	0.3011
40	US	0.0063	0.0118	0.974	0.0444	0.9814	0.034
40	graph-tool	0.0694	0.1137	0.8561	0.1879	0.8423	0.2202
50	DC_MASE	0.0073	0.0469	0.9887	0.0613	0.9895	0.0615
50	FROST_DCMASE	0.0069	0.0469	0.9907	0.0593	0.9908	0.0608
50	FROST_MF	2e-04	0.0011	0.9991	0.0051	0.9994	0.0034
50	FROST_US	3e-04	0.0013	0.9988	0.0059	0.9992	0.004
50	MASE	0.0011	0.0027	0.9949	0.0121	0.9966	0.0081
50	MF	0.0025	0.0054	0.9892	0.0228	0.9924	0.0162
50	OLMF	0.252	0.2519	0.6112	0.4021	0.5756	0.4166
50	S-A^2-Bias-adj	0.0526	0.114	0.8864	0.199	0.8877	0.2069
50	Sum A	0.4978	0.1822	0.1613	0.2755	0.1529	0.2819
50	US	0.0032	0.0084	0.9863	0.0337	0.9905	0.0247
50	graph-tool	0.0661	0.1094	0.8585	0.1837	0.8453	0.2176
