parameter	FROST_MF_moyenne	FROST_US_moyenne	US_moyenne	MF_moyenne	OLMF_moyenne	DC_MASE_moyenne	graph.tool_moyenne	Sum.A_moyenne	S.A.2.Bias.adj_moyenne	MASE_moyenne	FROST_MF_ecart_type	FROST_US_ecart_type	US_ecart_type	MF_ecart_type	OLMF_ecart_type	DC_MASE_ecart_type	graph.tool_ecart_type	Sum.A_ecart_type	S.A.2.Bias.adj_ecart_type	MASE_ecart_type
1	0.6039	0.6057	0.6065	0.6023	0.5541	0.6045	0.6125	0.6049	0.5975	0.6049	0.0283	0.0316	0.0299	0.0258	0.0387	0.0274	0.0342	0.0264	0.0289	0.0264
2	0.5336	0.5383	0.5529	0.5529	0.4542	0.5007	0.5583	0.506	0.4165	0.5242	0.0722	0.077	0.0467	0.0504	0.0541	0.0563	0.0679	0.0661	0.0661	0.0361
3	0.5644	0.5551	0.5607	0.5604	0.4456	0.5247	0.5475	0.4936	0.4825	0.5442	0.0709	0.0722	0.0501	0.0498	0.059	0.0602	0.0706	0.0701	0.1253	0.0509
5	0.4501	0.4191	0.4903	0.5037	0.3621	0.4287	0.4682	0.3995	0.4443	0.4541	0.0892	0.0702	0.0526	0.0544	0.0738	0.0467	0.0844	0.0295	0.1626	0.0461
7	0.3752	0.3696	0.4491	0.4667	0.3131	0.3972	0.4289	0.3769	0.3779	0.4063	0.0519	0.0337	0.0449	0.0516	0.084	0.0397	0.0655	0.0385	0.1874	0.0426
10	0.3337	0.3285	0.4057	0.4107	0.2563	0.3643	0.3977	0.3381	0.2807	0.3577	0.0435	0.0458	0.0343	0.0381	0.1159	0.0343	0.0558	0.041	0.1805	0.035
15	0.3173	0.3145	0.3727	0.3887	0.1816	0.3508	0.4049	0.3094	0.2817	0.3324	0.0579	0.0521	0.0371	0.0342	0.0993	0.0353	0.0624	0.0558	0.2154	0.0389
20	0.2993	0.2979	0.3591	0.3685	0.1414	0.337	0.3846	0.2943	0.2181	0.3163	0.0706	0.076	0.0366	0.036	0.0892	0.0323	0.0483	0.0588	0.2039	0.036
30	0.2862	0.2737	0.3346	0.3494	0.0703	0.3221	0.3887	0.2583	0.1909	0.3031	0.0803	0.0995	0.0313	0.0286	0.0825	0.0365	0.0553	0.0691	0.2123	0.0349
40	0.2852	0.2741	0.3127	0.3339	0.0703	0.3189	0.3957	0.2261	0.1757	0.2902	0.0855	0.0969	0.0387	0.0361	0.1164	0.0405	0.0564	0.0836	0.2136	0.0387
50	0.2777	0.2547	0.3093	0.3199	0.0667	0.3119	0.3839	0.1965	0.1788	0.2781	0.0916	0.1103	0.0356	0.0326	0.1196	0.046	0.0546	0.091	0.2252	0.0496
