parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
2	DC_MASE	0.0145	0.0518	0.9271	0.1288	0.9533	0.1144
2	FROST	0.0061	0.0098	0.9549	0.0587	0.9761	0.0373
2	MASE	0.014	0.0318	0.9188	0.1235	0.9486	0.101
2	OLMF	0.2446	0.2332	0.4706	0.4886	0.4752	0.4904
2	S-A^2-Bias-adj	0.0076	0.0335	0.9603	0.105	0.9743	0.0936
2	Sum A	0.1738	0.1084	0.3937	0.2319	0.4711	0.2504
2	graph-tool	4e-04	0.0017	0.9964	0.0134	0.9983	0.0066
5	DC_MASE	0.2882	0.2614	0.5216	0.347	0.527	0.3637
5	FROST	0.2557	0.2941	0.5995	0.3905	0.6067	0.4042
5	MASE	0.3208	0.2473	0.4599	0.3215	0.4647	0.3398
5	OLMF	0.4138	0.2991	0.4335	0.3999	0.4003	0.3939
5	S-A^2-Bias-adj	0.3969	0.3253	0.4331	0.4125	0.4274	0.4255
5	Sum A	0.4536	0.273	0.3068	0.302	0.3106	0.3224
5	graph-tool	0.2422	0.3123	0.6763	0.4098	0.6649	0.4199
10	DC_MASE	0.5837	0.2807	0.2862	0.299	0.2308	0.3093
10	FROST	0.5747	0.3008	0.3023	0.3324	0.2579	0.3424
10	MASE	0.5892	0.2538	0.2679	0.2611	0.2105	0.2666
10	OLMF	0.5861	0.2621	0.3182	0.3063	0.21	0.2542
10	S-A^2-Bias-adj	0.6584	0.2643	0.2238	0.2853	0.1704	0.2761
10	Sum A	0.6337	0.2436	0.2285	0.2483	0.1736	0.2479
10	graph-tool	0.5312	0.3494	0.3846	0.4048	0.3378	0.4135
20	DC_MASE	0.7624	0.1549	0.238	0.1472	0.0715	0.1466
20	FROST	0.8009	0.116	0.1983	0.114	0.0428	0.1151
20	MASE	0.7518	0.1558	0.242	0.1427	0.0749	0.1397
20	OLMF	0.7124	0.1967	0.2886	0.2	0.1001	0.1442
20	S-A^2-Bias-adj	0.7598	0.1727	0.2383	0.1716	0.0809	0.1644
20	Sum A	0.7859	0.1378	0.2143	0.1321	0.0534	0.1333
20	graph-tool	0.7897	0.1596	0.2223	0.1715	0.0626	0.1738
