parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
1	DC_MASE	0.4258	0.1034	0.1775	0.0954	0.1836	0.1144
1	FROST_DCMASE	0.4226	0.1101	0.1838	0.1043	0.1924	0.1231
1	FROST_MF	0.4247	0.1073	0.1782	0.1047	0.1869	0.1226
1	FROST_US	0.4303	0.1087	0.1732	0.107	0.1806	0.1264
1	MASE	0.4255	0.1029	0.1787	0.095	0.1839	0.1144
1	MF	0.4586	0.0919	0.1358	0.0797	0.1354	0.0948
1	OLMF	0.3477	0.0635	0.2546	0.0688	0.2328	0.0775
1	S-A^2-Bias-adj	0.3928	0.0881	0.1901	0.084	0.2007	0.1013
1	Sum A	0.4255	0.1029	0.1787	0.095	0.1839	0.1144
1	US	0.4542	0.0877	0.1391	0.0776	0.1391	0.0908
1	graph-tool	0.5629	0.0629	0.0667	0.0562	0.0435	0.0522
2	DC_MASE	0.3923	0.0958	0.2165	0.0948	0.2219	0.1148
2	FROST_DCMASE	0.3329	0.1289	0.3255	0.1631	0.341	0.1866
2	FROST_MF	0.3533	0.1248	0.3033	0.1563	0.3166	0.1786
2	FROST_US	0.3539	0.1188	0.2977	0.1459	0.3081	0.1656
2	MASE	0.3723	0.0961	0.251	0.1087	0.257	0.1255
2	MF	0.4802	0.0711	0.1196	0.0612	0.1113	0.0682
2	OLMF	0.2401	0.1365	0.4478	0.162	0.4649	0.202
2	S-A^2-Bias-adj	0.4299	0.0344	0.2112	0.0479	0.1994	0.0502
2	Sum A	0.2021	0.1045	0.4781	0.1314	0.5246	0.1569
2	US	0.469	0.073	0.1269	0.0648	0.1209	0.0737
2	graph-tool	0.2971	0.1296	0.3755	0.151	0.3817	0.1814
3	DC_MASE	0.3443	0.0958	0.2712	0.1036	0.2821	0.1254
3	FROST_DCMASE	0.2365	0.1531	0.5152	0.2099	0.5319	0.2389
3	FROST_MF	0.2573	0.1523	0.4742	0.2102	0.4911	0.2375
3	FROST_US	0.2458	0.1513	0.4936	0.2071	0.5129	0.2353
3	MASE	0.3083	0.1028	0.3371	0.1203	0.3517	0.1431
3	MF	0.4259	0.0794	0.1695	0.0765	0.1698	0.0852
3	OLMF	0.1939	0.1967	0.5758	0.2727	0.6015	0.3034
3	S-A^2-Bias-adj	0.5777	0.0511	0.0361	0.0481	0.0251	0.0495
3	Sum A	0.0729	0.0233	0.74	0.0714	0.7931	0.0624
3	US	0.4085	0.0801	0.1818	0.0758	0.1874	0.0875
3	graph-tool	0.1085	0.0853	0.6921	0.1305	0.7285	0.1474
5	DC_MASE	0.2279	0.0897	0.4365	0.1279	0.4669	0.1475
5	FROST_DCMASE	0.0749	0.1073	0.8207	0.1609	0.8403	0.179
5	FROST_MF	0.081	0.1157	0.8066	0.1841	0.8264	0.2003
5	FROST_US	0.0951	0.1222	0.7909	0.1821	0.8052	0.2062
5	MASE	0.1921	0.1013	0.5227	0.1427	0.5534	0.1682
