parameter	FROST_MF_moyenne	FROST_MF_ecart_type	FROST_US_moyenne	FROST_US_ecart_type	US_moyenne	US_ecart_type	MF_moyenne	MF_ecart_type	OLMF_moyenne	OLMF_ecart_type	DC_MASE_moyenne	DC_MASE_ecart_type	graph.tool_moyenne	graph.tool_ecart_type	Sum.A_moyenne	Sum.A_ecart_type	S.A.2.Bias.adj_moyenne	S.A.2.Bias.adj_ecart_type	MASE_moyenne	MASE_ecart_type
1	0.4592	0.1992	0.4574	0.1998	0.4747	0.1841	0.4769	0.1864	0.531	0.1645	0.4763	0.19	0.5185	0.1937	0.4755	0.1894	0.4736	0.1855	0.4755	0.1894
2	0.3927	0.2223	0.3693	0.2255	0.4558	0.1662	0.4453	0.1747	0.4961	0.198	0.3996	0.2149	0.4199	0.2429	0.4717	0.1908	0.3881	0.2236	0.4229	0.1866
3	0.3085	0.2276	0.2917	0.2328	0.3919	0.1849	0.3927	0.1841	0.453	0.2329	0.3286	0.2254	0.3389	0.2627	0.4443	0.2175	0.3403	0.2476	0.3555	0.2084
5	0.1853	0.1871	0.1821	0.1847	0.2894	0.1863	0.2895	0.1905	0.4087	0.2554	0.2243	0.1994	0.2646	0.2473	0.4439	0.2128	0.2838	0.2475	0.2391	0.1922
7	0.1268	0.1392	0.1294	0.1443	0.2094	0.1699	0.2232	0.1797	0.4079	0.2566	0.1496	0.1627	0.2409	0.2307	0.4876	0.1955	0.2671	0.2539	0.1705	0.1586
10	0.0804	0.0869	0.0796	0.093	0.1344	0.1285	0.1367	0.1337	0.4015	0.2655	0.082	0.1124	0.173	0.2065	0.4891	0.183	0.2297	0.2454	0.1025	0.1178
15	0.0467	0.0334	0.0465	0.0329	0.0715	0.0681	0.0703	0.0698	0.3439	0.2761	0.037	0.0497	0.1333	0.1815	0.4905	0.2004	0.1679	0.2174	0.05	0.0588
20	0.036	0.0258	0.0367	0.0253	0.0371	0.0366	0.0367	0.0373	0.3441	0.2638	0.0137	0.0177	0.1068	0.1498	0.4996	0.1883	0.1514	0.2059	0.0223	0.0237
30	0.0251	0.0207	0.0252	0.0212	0.0147	0.0155	0.0136	0.017	0.2778	0.2695	0.0047	0.0071	0.0675	0.113	0.4728	0.2013	0.0934	0.1605	0.0088	0.0097
40	0.0218	0.0225	0.0217	0.0225	0.0051	0.0099	0.0057	0.01	0.2674	0.2728	0.0023	0.0048	0.0602	0.1031	0.4613	0.1994	0.0803	0.1443	0.0037	0.0059
50	0.0205	0.0229	0.0205	0.0229	0.0035	0.0072	0.0037	0.0086	0.246	0.253	0.0073	0.0469	0.0569	0.1045	0.4978	0.1822	0.0526	0.114	0.0011	0.0027
