parameter	FROST_MF_moyenne	FROST_MF_ecart_type	FROST_US_moyenne	FROST_US_ecart_type	US_moyenne	US_ecart_type	MF_moyenne	MF_ecart_type	OLMF_moyenne	OLMF_ecart_type	DC_MASE_moyenne	DC_MASE_ecart_type	graph.tool_moyenne	graph.tool_ecart_type	Sum.A_moyenne	Sum.A_ecart_type	S.A.2.Bias.adj_moyenne	S.A.2.Bias.adj_ecart_type	MASE_moyenne	MASE_ecart_type
1	0.3939	0.2161	0.393	0.2126	0.4162	0.2006	0.4175	0.1993	0.4983	0.1972	0.4109	0.2034	0.4635	0.2304	0.4074	0.2088	0.4101	0.2071	0.4074	0.2088
2	0.3445	0.2082	0.3458	0.2187	0.4333	0.1636	0.4287	0.1619	0.4683	0.2227	0.3739	0.2022	0.3565	0.2529	0.4193	0.1955	0.4338	0.1816	0.3803	0.1802
3	0.2474	0.2058	0.2387	0.1991	0.3661	0.1687	0.3639	0.1693	0.4696	0.2376	0.2802	0.2007	0.2379	0.2348	0.3907	0.2048	0.4622	0.2351	0.2838	0.188
5	0.1757	0.205	0.1655	0.1971	0.2782	0.1952	0.275	0.1965	0.4301	0.2424	0.2075	0.2014	0.1699	0.2338	0.3901	0.1981	0.4021	0.2454	0.204	0.1866
7	0.0764	0.1353	0.066	0.12	0.1643	0.1519	0.1731	0.1552	0.3875	0.2631	0.11	0.1385	0.0459	0.1218	0.3538	0.1986	0.2854	0.2571	0.1152	0.1424
10	0.0317	0.0936	0.0303	0.0943	0.1067	0.1301	0.1125	0.1401	0.3267	0.2632	0.0623	0.1093	0.0301	0.1144	0.355	0.21	0.1653	0.2342	0.0607	0.0996
15	0.0091	0.0588	0.0073	0.0398	0.054	0.083	0.0587	0.0891	0.3653	0.2625	0.0232	0.0576	0.0073	0.062	0.3819	0.1956	0.0809	0.163	0.0219	0.0542
20	0.0045	0.0387	0.0025	0.0207	0.0263	0.0587	0.0309	0.0721	0.3305	0.2605	0.0146	0.0582	0.0045	0.0342	0.3607	0.22	0.0287	0.1012	0.0121	0.0501
30	0	0	0	0	0.0034	0.0081	0.0027	0.0072	0.3067	0.2666	0.0072	0.0469	0.0015	0.0069	0.4097	0.2081	5e-04	0.0024	5e-04	0.0024
40	0	0	0	0	5e-04	0.0024	7e-04	0.0024	0.2667	0.2607	1e-04	7e-04	1e-04	7e-04	0.3717	0.2401	0	0	0	0
50	0	0	0	0	0	0	0	0	0.1675	0.2399	0.0033	0.0333	3e-04	0.0033	0.314	0.2423	0	0	0	0
