parameter	FROST_MF_moyenne	FROST_MF_ecart_type	FROST_US_moyenne	FROST_US_ecart_type	US_moyenne	US_ecart_type	MF_moyenne	MF_ecart_type	OLMF_moyenne	OLMF_ecart_type	DC_MASE_moyenne	DC_MASE_ecart_type	graph.tool_moyenne	graph.tool_ecart_type	Sum.A_moyenne	Sum.A_ecart_type	S.A.2.Bias.adj_moyenne	S.A.2.Bias.adj_ecart_type	MASE_moyenne	MASE_ecart_type
1	0.4286	0.1041	0.4321	0.1039	0.461	0.0963	0.4596	0.0886	0.3418	0.0587	0.4258	0.1034	0.5661	0.0648	0.4255	0.1029	0.3928	0.0881	0.4255	0.1029
2	0.3347	0.1196	0.3367	0.1188	0.4579	0.0786	0.4667	0.0736	0.2059	0.054	0.3946	0.0966	0.3413	0.1337	0.1889	0.0792	0.3018	0.109	0.3899	0.091
3	0.2621	0.1258	0.2565	0.1288	0.4091	0.0884	0.4213	0.0848	0.1508	0.0498	0.3337	0.1006	0.2175	0.1164	0.1106	0.0254	0.2575	0.1188	0.3335	0.1035
5	0.1272	0.0864	0.1283	0.0879	0.3277	0.0833	0.3403	0.093	0.0969	0.0786	0.2217	0.0896	0.162	0.1202	0.0555	0.018	0.2089	0.1319	0.2389	0.1135
7	0.0876	0.0599	0.0859	0.0577	0.2653	0.0715	0.2717	0.0721	0.0767	0.0877	0.1537	0.0697	0.1573	0.1313	0.0342	0.0119	0.1864	0.1466	0.1749	0.1038
10	0.0587	0.0212	0.0591	0.0205	0.2061	0.0529	0.2077	0.0589	0.0424	0.0792	0.1002	0.038	0.1363	0.1261	0.0158	0.0094	0.1699	0.1534	0.1145	0.082
15	0.0433	0.0214	0.0429	0.0206	0.1431	0.0367	0.1505	0.0427	0.0339	0.0892	0.0575	0.0256	0.1486	0.143	0.0051	0.006	0.1253	0.1451	0.0611	0.0568
20	0.036	0.0192	0.0351	0.0195	0.1096	0.0302	0.1123	0.0371	0.0745	0.1396	0.0401	0.0183	0.1448	0.1419	0.0025	0.004	0.1276	0.1589	0.0451	0.0609
30	0.0261	0.0189	0.0265	0.0193	0.071	0.0248	0.0665	0.0248	0.0974	0.1548	0.0196	0.0119	0.1565	0.1561	6e-04	0.0025	0.1121	0.1607	0.0251	0.0535
40	0.0227	0.0188	0.023	0.0187	0.0454	0.0214	0.0467	0.0213	0.0722	0.1373	0.0123	0.0116	0.1301	0.1527	1e-04	9e-04	0.1051	0.162	0.0186	0.0535
50	0.0218	0.0189	0.022	0.0194	0.0328	0.0165	0.0301	0.0149	0.0854	0.1453	0.0084	0.0093	0.1489	0.1592	1e-04	7e-04	0.0993	0.1528	0.0145	0.049
