parameter	FROST_MF_moyenne	FROST_MF_ecart_type	FROST_US_moyenne	FROST_US_ecart_type	US_moyenne	US_ecart_type	MF_moyenne	MF_ecart_type	OLMF_moyenne	OLMF_ecart_type	DC_MASE_moyenne	DC_MASE_ecart_type	graph.tool_moyenne	graph.tool_ecart_type	Sum.A_moyenne	Sum.A_ecart_type	S.A.2.Bias.adj_moyenne	S.A.2.Bias.adj_ecart_type	MASE_moyenne	MASE_ecart_type
1	0.436	0.1	0.4399	0.0947	0.4623	0.0849	0.4667	0.0764	0.3701	0.065	0.4319	0.0932	0.5745	0.0706	0.4303	0.0912	0.4181	0.0947	0.4304	0.0911
2	0.3761	0.1362	0.3829	0.1219	0.4769	0.0711	0.4773	0.0656	0.4887	0.036	0.4059	0.1029	0.4115	0.1601	0.4309	0.0397	0.4884	0.0431	0.365	0.1019
3	0.2613	0.1514	0.2483	0.1329	0.4115	0.0886	0.4131	0.0923	0.4525	0.1138	0.3359	0.1165	0.2245	0.1841	0.3555	0.1396	0.49	0.0265	0.3059	0.1294
5	0.1057	0.1254	0.1042	0.1244	0.3328	0.0899	0.3433	0.0978	0.494	0.0295	0.231	0.1114	0.3015	0.2027	0.4515	0.0563	0.473	0.0519	0.2979	0.1841
7	0.0212	0.0545	0.0259	0.0625	0.256	0.0689	0.2775	0.0877	0.4718	0.0688	0.1393	0.078	0.3855	0.1616	0.4177	0.0723	0.4392	0.0721	0.3697	0.1735
10	0.0018	0.0147	0.0019	0.016	0.1938	0.0689	0.188	0.0618	0.4076	0.089	0.0713	0.0375	0.3727	0.1738	0.3393	0.023	0.3647	0.0578	0.4325	0.0997
15	0	0	0	0	0.1059	0.0352	0.1117	0.0425	0.4281	0.0901	0.0279	0.0354	0.3645	0.1716	0.3523	0.052	0.3667	0.065	0.4341	0.0898
20	0	0	0	0	0.0701	0.028	0.0654	0.0295	0.4097	0.0823	0.0111	0.0101	0.3713	0.1736	0.3334	7e-04	0.3472	0.0453	0.4202	0.0818
30	0	0	0	0	0.0255	0.0149	0.0255	0.0151	0.3915	0.1064	0.0046	0.0333	0.3744	0.1427	0.3333	0	0.3434	0.0398	0.4007	0.0815
40	0	0	0	0	0.0075	0.0065	0.0085	0.0076	0.3961	0.1073	1e-04	9e-04	0.3778	0.1438	0.3333	0	0.3351	0.0167	0.3851	0.0774
50	0	0	0	0	0.0018	0.0033	0.0023	0.0039	0.3868	0.1131	0.0034	0.0333	0.383	0.1561	0.3333	0	0.335	0.0167	0.3784	0.0743
