parameter	FROST_MF_moyenne	FROST_MF_ecart_type	FROST_US_moyenne	FROST_US_ecart_type	US_moyenne	US_ecart_type	MF_moyenne	MF_ecart_type	OLMF_moyenne	OLMF_ecart_type	DC_MASE_moyenne	DC_MASE_ecart_type	graph.tool_moyenne	graph.tool_ecart_type	Sum.A_moyenne	Sum.A_ecart_type	S.A.2.Bias.adj_moyenne	S.A.2.Bias.adj_ecart_type	MASE_moyenne	MASE_ecart_type
1	0.4457	0.0935	0.4409	0.0925	0.4608	0.0796	0.4756	0.0788	0.3461	0.0617	0.4428	0.0855	0.5853	0.0573	0.441	0.0841	0.4133	0.0835	0.441	0.0841
2	0.3703	0.1114	0.3893	0.1133	0.4663	0.0664	0.4778	0.0682	0.2617	0.1454	0.3923	0.0825	0.3198	0.1415	0.2039	0.1037	0.4334	0.04	0.3815	0.084
3	0.2475	0.1452	0.2505	0.1482	0.4161	0.0926	0.4371	0.0876	0.2036	0.2043	0.3313	0.1046	0.1156	0.1	0.0725	0.0221	0.5915	0.0406	0.3121	0.114
5	0.096	0.1261	0.099	0.1223	0.3151	0.0903	0.3343	0.0908	0.0673	0.1093	0.2063	0.0895	0.0207	0.0268	0.0173	0.0119	0.51	0.0946	0.1696	0.1036
7	0.0398	0.0932	0.0365	0.0881	0.2519	0.0688	0.2713	0.0815	0.0432	0.1042	0.1487	0.0785	0.0055	0.0067	0.0046	0.0061	0.3451	0.1297	0.098	0.0775
10	0.0016	0.0033	0.0047	0.0313	0.1769	0.0518	0.1829	0.0588	0.0575	0.126	0.0679	0.0307	0.0041	0.0333	6e-04	0.0019	0.0791	0.0758	0.0366	0.0297
15	1e-04	7e-04	1e-04	7e-04	0.112	0.0348	0.1117	0.0437	0.0533	0.1228	0.039	0.0581	1e-04	7e-04	0	0	0.0056	0.036	0.0111	0.0155
20	0	0	0	0	0.0685	0.0278	0.0675	0.0241	0.0833	0.1451	0.0145	0.0346	1e-04	7e-04	0	0	2e-04	0.0011	0.0025	0.0046
30	0	0	0	0	0.0212	0.011	0.0238	0.0127	0.0633	0.1314	0.0057	0.0334	0	0	0	0	0	0	1e-04	7e-04
40	0	0	0	0	0.0079	0.0072	0.007	0.0071	0.0767	0.141	3e-04	0.0013	0	0	0	0	0	0	0	0
50	0	0	0	0	0.0017	0.0032	0.0017	0.0033	0.08	0.1431	1e-04	7e-04	6e-04	0.0034	0	0	0	0	0	0
