parameter	FROST_MF_moyenne	FROST_MF_ecart_type	FROST_US_moyenne	FROST_US_ecart_type	FROST_DCMASE_moyenne	FROST_DCMASE_ecart_type	US_moyenne	US_ecart_type	MF_moyenne	MF_ecart_type	OLMF_moyenne	OLMF_ecart_type	DC_MASE_moyenne	DC_MASE_ecart_type	graph.tool_moyenne	graph.tool_ecart_type	Sum.A_moyenne	Sum.A_ecart_type	S.A.2.Bias.adj_moyenne	S.A.2.Bias.adj_ecart_type	MASE_moyenne	MASE_ecart_type
0.0133333333333333	0.5871	0.0362	0.5897	0.0373	0.5938	0.0296	0.6006	0.0282	0.6003	0.0251	0.3219	0.0735	0.6016	0.0243	0.617	0.0292	0.3776	0.1111	0.5539	0.044	0.5907	0.0307
0.0266666666666667	0.4702	0.1079	0.4778	0.1074	0.4925	0.1084	0.5588	0.0478	0.558	0.047	0.1805	0.0914	0.546	0.0464	0.5171	0.0745	0.1251	0.0986	0.4266	0.0938	0.5235	0.0542
0.04	0.2421	0.146	0.2257	0.1495	0.2565	0.1571	0.4604	0.0659	0.4754	0.0709	0.0993	0.0863	0.4025	0.0864	0.4121	0.0692	0.0487	0.0318	0.3045	0.1116	0.4001	0.085
0.0533333333333333	0.0917	0.1039	0.0623	0.0677	0.1069	0.1159	0.3295	0.0808	0.3493	0.0787	0.0711	0.0999	0.2279	0.0934	0.2772	0.1516	0.0263	0.0127	0.2156	0.1431	0.2405	0.104
0.0666666666666667	0.0293	0.0137	0.0299	0.0138	0.0346	0.0382	0.2082	0.0608	0.2148	0.0686	0.0767	0.1264	0.1002	0.038	0.1521	0.1323	0.0158	0.0094	0.1699	0.1534	0.1145	0.082
0.08	0.0193	0.0108	0.0193	0.0108	0.0251	0.0422	0.1289	0.038	0.1333	0.0474	0.0609	0.119	0.0521	0.0254	0.0605	0.0807	0.01	0.0077	0.1179	0.1368	0.0501	0.0562
0.0933333333333333	0.0121	0.009	0.0121	0.0091	0.0218	0.0554	0.0786	0.0336	0.0869	0.0302	0.0437	0.1073	0.0327	0.046	0.0289	0.0354	0.0064	0.0058	0.1084	0.1378	0.0233	0.0343
0.106666666666667	0.0093	0.0079	0.0092	0.008	0.0125	0.0334	0.0595	0.025	0.0584	0.0246	0.0445	0.1095	0.0173	0.0341	0.0179	0.0356	0.0047	0.0051	0.1025	0.1413	0.0109	0.0119
0.12	0.0091	0.0322	0.0059	0.007	0.0123	0.0457	0.0433	0.02	0.0486	0.0339	0.0395	0.1049	0.0126	0.0338	0.0105	0.0161	0.003	0.0048	0.0995	0.1523	0.0071	0.0169
0.133333333333333	0.0075	0.0321	0.0074	0.0321	0.0107	0.0457	0.037	0.0207	0.0393	0.0238	0.0444	0.1114	0.0101	0.0341	0.0067	0.0105	0.0053	0.032	0.0941	0.1467	0.0092	0.0386
0.146666666666667	0.0055	0.032	0.0056	0.032	0.0155	0.0646	0.0331	0.0247	0.0339	0.0234	0.046	0.1154	0.0143	0.0569	0.005	0.0082	0.0045	0.032	0.079	0.131	0.0058	0.032
0.16	0.0051	0.0327	0.0051	0.0327	0.0018	0.0034	0.0276	0.0213	0.0287	0.0321	0.0524	0.1225	0.0027	0.0055	0.0096	0.0458	0.0041	0.0327	0.0853	0.1392	0.0051	0.0327
