parameter	FROST_MF_moyenne	FROST_MF_ecart_type	FROST_US_moyenne	FROST_US_ecart_type	FROST_DCMASE_moyenne	FROST_DCMASE_ecart_type	US_moyenne	US_ecart_type	MF_moyenne	MF_ecart_type	OLMF_moyenne	OLMF_ecart_type	DC_MASE_moyenne	DC_MASE_ecart_type	graph.tool_moyenne	graph.tool_ecart_type	Sum.A_moyenne	Sum.A_ecart_type	S.A.2.Bias.adj_moyenne	S.A.2.Bias.adj_ecart_type	MASE_moyenne	MASE_ecart_type
0.0133333333333333	0.5412	0.0804	0.5369	0.0904	0.5753	0.0523	0.5662	0.0581	0.5613	0.0623	0.5499	0.1274	0.597	0.0338	0.5041	0.1677	0.5719	0.0864	0.4623	0.1401	0.5151	0.0897
0.0266666666666667	0.3028	0.2145	0.2967	0.2135	0.3311	0.2106	0.4013	0.1674	0.4155	0.1615	0.4524	0.218	0.3941	0.1823	0.2326	0.2582	0.5055	0.1476	0.2893	0.2164	0.3331	0.1806
0.04	0.1361	0.1869	0.1382	0.189	0.1314	0.1854	0.2585	0.1871	0.2633	0.184	0.3957	0.2499	0.1901	0.1803	0.1156	0.1995	0.4363	0.1862	0.2035	0.2238	0.1829	0.1735
0.0533333333333333	0.0695	0.1468	0.0574	0.1283	0.0581	0.1353	0.1629	0.163	0.1726	0.1671	0.3524	0.2572	0.104	0.1483	0.051	0.1462	0.3925	0.2053	0.1738	0.227	0.1061	0.1414
0.0666666666666667	0.0305	0.0919	0.0288	0.097	0.0296	0.0942	0.1112	0.1369	0.1096	0.1361	0.3109	0.2744	0.0623	0.1093	0.0335	0.1166	0.355	0.21	0.1653	0.2342	0.0607	0.0996
0.08	0.0133	0.0552	0.0151	0.0618	0.0206	0.0738	0.0779	0.1059	0.0823	0.1266	0.2965	0.268	0.0443	0.095	0.0159	0.0751	0.3211	0.2089	0.1591	0.2369	0.0388	0.0798
0.0933333333333333	0.0101	0.0547	0.0107	0.0542	0.0083	0.0401	0.0565	0.0978	0.0569	0.0959	0.2827	0.2748	0.0255	0.0689	0.0073	0.0475	0.2979	0.2084	0.1583	0.2394	0.0263	0.07
0.106666666666667	0.0076	0.0556	0.0089	0.0516	0.0093	0.0543	0.0429	0.0891	0.0429	0.0855	0.2773	0.2758	0.0201	0.0668	0.009	0.0505	0.2807	0.2093	0.1585	0.2425	0.0206	0.0613
0.12	0.0056	0.0422	0.0047	0.0289	0.0063	0.0372	0.035	0.078	0.0339	0.0711	0.268	0.2793	0.0149	0.0492	0.0051	0.0362	0.2653	0.2054	0.1565	0.2416	0.0131	0.0437
0.133333333333333	0.0039	0.0282	0.0047	0.0368	0.0017	0.0082	0.0257	0.0584	0.0291	0.0737	0.277	0.2777	0.0084	0.0317	0.009	0.066	0.256	0.2038	0.1565	0.2458	0.0099	0.0416
0.146666666666667	0.0036	0.0314	0.0041	0.0367	0.0011	0.0069	0.0219	0.0661	0.0227	0.0677	0.2595	0.2873	0.0067	0.0267	0.0014	0.0074	0.2419	0.2039	0.1569	0.2476	0.0069	0.0337
0.16	0.0053	0.0493	0.0037	0.0333	0.0107	0.0571	0.0204	0.0668	0.0206	0.0632	0.2599	0.2802	0.0159	0.0628	0.007	0.049	0.2275	0.2015	0.1577	0.2476	0.0057	0.0278
