parameter	FROST_MF_moyenne	FROST_MF_ecart_type	FROST_US_moyenne	FROST_US_ecart_type	FROST_DCMASE_moyenne	FROST_DCMASE_ecart_type	US_moyenne	US_ecart_type	MF_moyenne	MF_ecart_type	OLMF_moyenne	OLMF_ecart_type	DC_MASE_moyenne	DC_MASE_ecart_type	graph.tool_moyenne	graph.tool_ecart_type	Sum.A_moyenne	Sum.A_ecart_type	S.A.2.Bias.adj_moyenne	S.A.2.Bias.adj_ecart_type	MASE_moyenne	MASE_ecart_type
0.0133333333333333	0.5592	0.066	0.5597	0.0696	0.5843	0.0355	0.5769	0.0505	0.5707	0.0482	0.6009	0.0527	0.6083	0.0223	0.5604	0.1321	0.6053	0.0473	0.5622	0.0591	0.5895	0.0522
0.0266666666666667	0.3279	0.2228	0.3131	0.2178	0.3587	0.2151	0.4244	0.1545	0.4365	0.1562	0.5835	0.0623	0.4301	0.175	0.4942	0.184	0.5914	0.0642	0.5101	0.0525	0.5292	0.0628
0.04	0.1583	0.2003	0.1506	0.1915	0.1349	0.1904	0.2839	0.1879	0.2853	0.1847	0.5712	0.0674	0.2086	0.1899	0.41	0.2125	0.5687	0.0693	0.487	0.0533	0.4978	0.0876
0.0533333333333333	0.0751	0.1394	0.0607	0.12	0.0429	0.1079	0.1947	0.1656	0.1895	0.1633	0.5602	0.0703	0.1061	0.1363	0.3284	0.2347	0.5543	0.0736	0.4837	0.052	0.4507	0.14
0.0666666666666667	0.0141	0.0466	0.021	0.0641	0.0191	0.0693	0.1233	0.1274	0.1229	0.1262	0.5603	0.0734	0.0545	0.0914	0.2433	0.2405	0.5508	0.0732	0.4703	0.0637	0.4041	0.1882
0.08	0.0101	0.0459	0.0055	0.0256	0.011	0.0504	0.0821	0.1026	0.0781	0.0981	0.5525	0.0663	0.0319	0.0628	0.1747	0.2269	0.5423	0.0755	0.4657	0.0667	0.3375	0.2144
0.0933333333333333	0.0034	0.0225	0.0026	0.0165	0.009	0.049	0.0545	0.0781	0.056	0.0898	0.5485	0.0714	0.0231	0.0577	0.1329	0.2126	0.5387	0.0723	0.4658	0.0667	0.2771	0.2271
0.106666666666667	0.0035	0.0288	0.0037	0.0302	0.0083	0.0554	0.0363	0.0619	0.0364	0.0645	0.5449	0.0811	0.0169	0.0608	0.0851	0.1828	0.5291	0.0731	0.4635	0.0691	0.2252	0.2236
0.12	0.0022	0.02	0.0013	0.0114	0.006	0.0409	0.0229	0.0471	0.0235	0.0476	0.5439	0.0811	0.0115	0.0509	0.0718	0.1594	0.5248	0.0743	0.4554	0.0737	0.1905	0.2237
0.133333333333333	0.0014	0.0127	9e-04	0.008	7e-04	0.0054	0.0161	0.0278	0.0182	0.0499	0.5349	0.0822	0.0041	0.0138	0.0556	0.1401	0.5191	0.0801	0.4488	0.0768	0.1518	0.214
0.146666666666667	5e-04	0.0042	6e-04	0.0054	0.0103	0.0571	0.013	0.0328	0.0111	0.0327	0.5379	0.0817	0.0121	0.0586	0.0315	0.1102	0.5173	0.0741	0.4518	0.0758	0.1196	0.1987
0.16	6e-04	0.0054	3e-04	0.0019	0.0037	0.0335	0.0086	0.025	0.009	0.0298	0.5334	0.0805	0.0048	0.0339	0.0201	0.0831	0.5157	0.0767	0.4451	0.0786	0.0817	0.1678
