parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
0.0133333333333333	DC_MASE	0.6274	0.0146	0.0058	0.0038	-0.0069	0.0041
0.0133333333333333	FROST	0.5971	0.0337	0.0208	0.0187	0.0088	0.0199
0.0133333333333333	MASE	0.6233	0.0267	0.0155	0.0198	-4e-04	0.0147
0.0133333333333333	OLMF	0.4609	0.0498	0.2869	0.0788	0.1979	0.0898
0.0133333333333333	S-A^2-Bias-adj	0.5617	0.0327	0.07	0.0431	0.0416	0.0337
0.0133333333333333	Sum A	0.3997	0.0536	0.3779	0.1008	0.3123	0.1159
0.0133333333333333	graph-tool	0.5993	0.0735	0.0599	0.1109	0.0294	0.0961
0.0266666666666667	DC_MASE	0.5751	0.0435	0.0339	0.0311	0.0228	0.0331
0.0266666666666667	FROST	0.4847	0.1096	0.1514	0.1482	0.1402	0.145
0.0266666666666667	MASE	0.554	0.0366	0.0992	0.0561	0.0552	0.0351
0.0266666666666667	OLMF	0.4286	0.0762	0.3877	0.1271	0.2822	0.1508
0.0266666666666667	S-A^2-Bias-adj	0.4513	0.0636	0.2973	0.1109	0.219	0.1259
0.0266666666666667	Sum A	0.3556	0.0453	0.5174	0.0919	0.4373	0.0994
0.0266666666666667	graph-tool	0.5015	0.013	0.2797	0.0276	0.1459	0.0158
0.04	DC_MASE	0.2898	0.1049	0.3385	0.132	0.361	0.1542
0.04	FROST	0.1182	0.1431	0.8015	0.2267	0.7791	0.2493
0.04	MASE	0.5019	0.0295	0.2173	0.0581	0.1265	0.0553
0.04	OLMF	0.4206	0.0804	0.4102	0.142	0.3016	0.1622
0.04	S-A^2-Bias-adj	0.3878	0.0688	0.4432	0.1324	0.3632	0.1475
0.04	Sum A	0.3416	0.0327	0.5578	0.0641	0.4735	0.0698
0.04	graph-tool	0.4995	0.0022	0.2887	0.0058	0.1498	0.0027
0.0533333333333333	DC_MASE	0.0617	0.0303	0.7817	0.0876	0.8252	0.0804
0.0533333333333333	FROST	0.0031	0.0217	0.9936	0.045	0.9929	0.0501
0.0533333333333333	MASE	0.4609	0.067	0.3215	0.1215	0.2153	0.1393
0.0533333333333333	OLMF	0.4082	0.0903	0.4359	0.1459	0.3275	0.1732
0.0533333333333333	S-A^2-Bias-adj	0.3625	0.0606	0.5128	0.1216	0.4267	0.1315
0.0533333333333333	Sum A	0.3339	0.0018	0.5767	0.0085	0.4915	0.0055
0.0533333333333333	graph-tool	0.4909	0.0368	0.3036	0.0639	0.1672	0.0753
0.0666666666666667	DC_MASE	0.0111	0.0101	0.9536	0.0407	0.9671	0.0299
0.0666666666666667	FROST	0	0	1	0	1	0
0.0666666666666667	MASE	0.4202	0.0818	0.4098	0.1495	0.3067	0.1711
0.0666666666666667	OLMF	0.4105	0.1005	0.4365	0.162	0.3216	0.1881
0.0666666666666667	S-A^2-Bias-adj	0.3472	0.0453	0.5498	0.0902	0.4624	0.0983
0.0666666666666667	Sum A	0.3334	7e-04	0.5791	0.003	0.493	0.002
0.0666666666666667	graph-tool	0.3581	0.1697	0.5121	0.2457	0.4148	0.2937
0.08	DC_MASE	5e-04	0.0018	0.9976	0.0081	0.9984	0.0055
0.08	FROST	0	0	1	0	1	0
0.08	MASE	0.1402	0.1816	0.8119	0.2483	0.7773	0.2928
0.08	OLMF	0.397	0.0997	0.4587	0.1598	0.3488	0.1877
0.08	S-A^2-Bias-adj	0.3368	0.0235	0.5719	0.0483	0.4855	0.0513
0.08	Sum A	0.3333	0	0.5794	0	0.4932	0
0.08	graph-tool	0.0183	0.0736	0.9755	0.0959	0.9701	0.1183
0.0933333333333333	DC_MASE	1e-04	9e-04	0.9994	0.0042	0.9996	0.0028
0.0933333333333333	FROST	0	0	1	0	1	0
0.0933333333333333	MASE	0.0033	0.0333	0.9958	0.0421	0.9949	0.0507
0.0933333333333333	OLMF	0.4168	0.0931	0.4291	0.1537	0.3124	0.1792
0.0933333333333333	S-A^2-Bias-adj	0.3367	0.0235	0.5733	0.0408	0.4861	0.0483
0.0933333333333333	Sum A	0.3333	0	0.5794	0	0.4932	0
0.0933333333333333	graph-tool	0.0034	0.0235	0.9939	0.0408	0.9925	0.0513
0.106666666666667	DC_MASE	0	0	1	0	1	0
0.106666666666667	FROST	0	0	1	0	1	0
0.106666666666667	MASE	0	0	1	0	1	0
0.106666666666667	OLMF	0.4018	0.1087	0.4514	0.172	0.3385	0.201
0.106666666666667	S-A^2-Bias-adj	0.3383	0.0286	0.5707	0.0497	0.4829	0.0588
0.106666666666667	Sum A	0.3333	0	0.5794	0	0.4932	0
0.106666666666667	graph-tool	0.0033	0.0235	0.9942	0.0408	0.9927	0.0513
0.12	DC_MASE	0.0033	0.0333	0.9958	0.0421	0.9957	0.0432
0.12	FROST	0	0	1	0	1	0
0.12	MASE	0	0	1	0	1	0
0.12	OLMF	0.4067	0.1013	0.4471	0.1643	0.3319	0.1912
0.12	S-A^2-Bias-adj	0.335	0.0167	0.5765	0.029	0.4898	0.0343
0.12	Sum A	0.3333	0	0.5794	0	0.4932	0
0.12	graph-tool	0.0017	0.0173	0.9968	0.0322	0.9961	0.0388
0.133333333333333	DC_MASE	0.0033	0.0333	0.9958	0.0421	0.9957	0.0432
0.133333333333333	FROST	0	0	1	0	1	0
0.133333333333333	MASE	0	0	1	0	1	0
0.133333333333333	OLMF	0.4084	0.1015	0.44	0.1622	0.3229	0.1878
0.133333333333333	S-A^2-Bias-adj	0.3333	0	0.5794	0	0.4932	0
0.133333333333333	Sum A	0.3333	0	0.5794	0	0.4932	0
0.133333333333333	graph-tool	0.0083	0.0365	0.9855	0.0635	0.9818	0.0798
0.146666666666667	DC_MASE	0	0	1	0	1	0
0.146666666666667	FROST	0	0	1	0	1	0
0.146666666666667	MASE	0	0	1	0	1	0
0.146666666666667	OLMF	0.3985	0.1082	0.457	0.1701	0.3444	0.1994
0.146666666666667	S-A^2-Bias-adj	0.3333	0	0.5794	0	0.4932	0
0.146666666666667	Sum A	0.3333	0	0.5794	0	0.4932	0
0.146666666666667	graph-tool	0.005	0.0286	0.9913	0.0497	0.9891	0.0625
0.16	DC_MASE	0.0033	0.0333	0.9958	0.0421	0.9957	0.0432
0.16	FROST	0	0	1	0	1	0
0.16	MASE	0	0	1	0	1	0
