parameter	FROST_MF_moyenne	FROST_MF_ecart_type	FROST_US_moyenne	FROST_US_ecart_type	FROST_DCMASE_moyenne	FROST_DCMASE_ecart_type	US_moyenne	US_ecart_type	MF_moyenne	MF_ecart_type	OLMF_moyenne	OLMF_ecart_type	DC_MASE_moyenne	DC_MASE_ecart_type	graph.tool_moyenne	graph.tool_ecart_type	Sum.A_moyenne	Sum.A_ecart_type	S.A.2.Bias.adj_moyenne	S.A.2.Bias.adj_ecart_type	MASE_moyenne	MASE_ecart_type
0.0133333333333333	0.5935	0.0313	0.589	0.0318	0.5971	0.0264	0.6025	0.0283	0.605	0.0267	0.5003	0.0363	0.6171	0.02	0.6035	0.041	0.4585	0.0589	0.5921	0.0303	0.6204	0.0248
0.0266666666666667	0.5372	0.0705	0.5357	0.0645	0.5602	0.0646	0.5675	0.0393	0.5679	0.0431	0.4441	0.0574	0.5753	0.0375	0.5621	0.0613	0.3848	0.0451	0.5033	0.0409	0.5819	0.04
0.04	0.3107	0.133	0.3121	0.1395	0.3	0.1626	0.4904	0.0611	0.4949	0.0663	0.4191	0.0698	0.436	0.082	0.4977	0.0272	0.3575	0.0372	0.4379	0.0642	0.5197	0.0383
0.0533333333333333	0.0826	0.1105	0.0708	0.115	0.0575	0.1177	0.3551	0.0895	0.345	0.0854	0.4135	0.0792	0.2191	0.1044	0.4835	0.0644	0.3489	0.0384	0.3989	0.0716	0.4922	0.0406
0.0666666666666667	0.0018	0.0147	0.0018	0.016	4e-04	0.0016	0.1845	0.0636	0.1919	0.0656	0.4101	0.0883	0.0713	0.0375	0.3685	0.182	0.3393	0.023	0.3647	0.0578	0.4325	0.0997
0.08	0	0	0	0	0.0067	0.0469	0.0785	0.0308	0.0813	0.0296	0.4129	0.0815	0.0238	0.0468	0.0568	0.1235	0.339	0.0286	0.3607	0.059	0.115	0.1683
0.0933333333333333	0	0	0	0	0	0	0.0286	0.016	0.0271	0.0163	0.4109	0.0821	0.0039	0.0047	0.0084	0.0435	0.337	0.0234	0.3576	0.0578	0.0055	0.05
0.106666666666667	0	0	0	0	0	0	0.0101	0.0076	0.0075	0.0076	0.4033	0.0817	5e-04	0.002	0.0035	0.0333	0.335	0.0167	0.3521	0.0523	0	0
0.12	0	0	0	0	0.0033	0.0333	0.0028	0.004	0.0033	0.0042	0.4104	0.0829	0.0035	0.0333	0.0018	0.0167	0.3333	0	0.3385	0.0286	0	0
0.133333333333333	0	0	0	0	0.0033	0.0333	7e-04	0.0021	5e-04	0.002	0.4072	0.0922	0.0034	0.0333	0.0084	0.0365	0.335	0.0167	0.3368	0.0235	0	0
0.146666666666667	0	0	0	0	0.0033	0.0333	1e-04	9e-04	1e-04	9e-04	0.4036	0.092	0.0033	0.0333	1e-04	9e-04	0.3334	7e-04	0.3335	9e-04	0	0
0.16	0	0	0	0	0.0067	0.0469	0	0	1e-04	7e-04	0.4035	0.1008	0.0067	0.0469	0.0068	0.0328	0.3333	0	0.335	0.0167	0	0
