parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
0.0133333333333333	DC_MASE	0.5691	0.0583	0.0469	0.0583	0.0359	0.0572
0.0133333333333333	FROST	0.4885	0.1359	0.1226	0.148	0.1238	0.1693
0.0133333333333333	MASE	0.5009	0.095	0.0973	0.0954	0.0934	0.1084
0.0133333333333333	OLMF	0.5196	0.1616	0.1344	0.2207	0.1056	0.2113
0.0133333333333333	S-A^2-Bias-adj	0.4498	0.1559	0.1784	0.1912	0.1849	0.2137
0.0133333333333333	Sum A	0.5898	0.0735	0.0321	0.0781	0.0213	0.0867
0.0133333333333333	graph-tool	0.5752	0.1094	0.0968	0.1723	0.0542	0.1592
0.0266666666666667	DC_MASE	0.3079	0.1555	0.3725	0.2294	0.3823	0.2481
0.0266666666666667	FROST	0.1319	0.1446	0.6542	0.2421	0.6957	0.2545
0.0266666666666667	MASE	0.2505	0.1459	0.4207	0.2327	0.4501	0.251
0.0266666666666667	OLMF	0.4146	0.2323	0.2953	0.3514	0.2681	0.3559
0.0266666666666667	S-A^2-Bias-adj	0.3049	0.2176	0.4252	0.3307	0.4366	0.3503
0.0266666666666667	Sum A	0.5677	0.1098	0.0592	0.143	0.0496	0.153
0.0266666666666667	graph-tool	0.4178	0.1723	0.3384	0.2605	0.2592	0.2722
0.04	DC_MASE	0.0824	0.0902	0.7493	0.1926	0.7885	0.1881
0.04	FROST	0.0325	0.0324	0.8756	0.0944	0.9072	0.081
0.04	MASE	0.115	0.1034	0.6736	0.2079	0.7133	0.211
0.04	OLMF	0.3804	0.2574	0.3683	0.4001	0.3452	0.4075
0.04	S-A^2-Bias-adj	0.2284	0.2219	0.5601	0.3649	0.5665	0.3786
0.04	Sum A	0.5299	0.1527	0.1074	0.2111	0.1009	0.2237
0.04	graph-tool	0.2661	0.2067	0.5672	0.3009	0.5055	0.3485
0.0533333333333333	DC_MASE	0.0318	0.0433	0.8874	0.1089	0.9135	0.0925
0.0533333333333333	FROST	0.0145	0.0139	0.939	0.0556	0.957	0.0406
