parameter	Method	Error_moyenne	Error_ecart_type	NMI_moyenne	NMI_ecart_type	ARI_moyenne	ARI_ecart_type
0.0133333333333333	DC_MASE	0.5875	0.041	0.0304	0.0326	0.0168	0.032
0.0133333333333333	FROST	0.5298	0.1231	0.0838	0.1416	0.0796	0.1593
0.0133333333333333	MASE	0.4757	0.1171	0.1268	0.1264	0.1249	0.1414
0.0133333333333333	OLMF	0.5386	0.1417	0.1011	0.2078	0.0873	0.2114
0.0133333333333333	S-A^2-Bias-adj	0.3763	0.1685	0.2456	0.2173	0.2593	0.2419
0.0133333333333333	Sum A	0.5747	0.0825	0.0424	0.0793	0.0326	0.0887
0.0133333333333333	graph-tool	0.4381	0.2185	0.2711	0.3503	0.256	0.3559
0.0266666666666667	DC_MASE	0.2771	0.1971	0.4273	0.3041	0.4457	0.3251
0.0266666666666667	FROST	0.1739	0.2072	0.642	0.3581	0.6568	0.3654
0.0266666666666667	MASE	0.1879	0.1651	0.557	0.281	0.5869	0.2957
0.0266666666666667	OLMF	0.4297	0.2426	0.2865	0.3868	0.2713	0.39
0.0266666666666667	S-A^2-Bias-adj	0.1375	0.1556	0.6635	0.2881	0.6895	0.2945
0.0266666666666667	Sum A	0.5194	0.1533	0.1078	0.1865	0.1048	0.2083
0.0266666666666667	graph-tool	0.1343	0.2193	0.777	0.3545	0.7698	0.366
0.04	DC_MASE	0.0733	0.1145	0.8013	0.2311	0.8256	0.2257
0.04	FROST	0.0301	0.0934	0.9274	0.1796	0.935	0.1789
0.04	MASE	0.0611	0.098	0.8204	0.2122	0.8466	0.2039
0.04	OLMF	0.3882	0.2518	0.3843	0.4091	0.3554	0.4091
0.04	S-A^2-Bias-adj	0.0635	0.1265	0.8411	0.2391	0.8575	0.2388
0.04	Sum A	0.4586	0.1943	0.1855	0.2549	0.189	0.279
0.04	graph-tool	0.0169	0.0778	0.9683	0.1267	0.9689	0.1331
0.0533333333333333	DC_MASE	0.0261	0.0676	0.9238	0.1426	0.9368	0.1355
0.0533333333333333	FROST	0.0095	0.057	0.9773	0.1053	0.9798	0.1059
0.0533333333333333	MASE	0.0229	0.0591	0.9262	0.1407	0.9401	0.1302
0.0533333333333333	OLMF	0.3478	0.2652	0.4337	0.4327	0.4116	0.4362
0.0533333333333333	S-A^2-Bias-adj	0.0402	0.1165	0.9061	0.2112	0.9154	0.2097
0.0533333333333333	Sum A	0.4087	0.2125	0.248	0.2938	0.2576	0.319
0.0533333333333333	graph-tool	0.0067	0.062	0.9877	0.0992	0.9884	0.1005
0.0666666666666667	DC_MASE	0.0146	0.0582	0.9623	0.1109	0.9681	0.1069
