parameter	FROST_MF_moyenne	FROST_MF_ecart_type	FROST_US_moyenne	FROST_US_ecart_type	FROST_DCMASE_moyenne	FROST_DCMASE_ecart_type	US_moyenne	US_ecart_type	MF_moyenne	MF_ecart_type	OLMF_moyenne	OLMF_ecart_type	DC_MASE_moyenne	DC_MASE_ecart_type	graph.tool_moyenne	graph.tool_ecart_type	Sum.A_moyenne	Sum.A_ecart_type	S.A.2.Bias.adj_moyenne	S.A.2.Bias.adj_ecart_type	MASE_moyenne	MASE_ecart_type
0.0133333333333333	0.5885	0.0316	0.5921	0.0258	0.6031	0.0281	0.6049	0.0245	0.6023	0.0241	0.2735	0.07	0.6057	0.0219	0.5726	0.0508	0.3457	0.1296	0.5539	0.0422	0.5881	0.0376
0.0266666666666667	0.5567	0.073	0.5623	0.0643	0.5569	0.0752	0.5697	0.0392	0.5777	0.0317	0.058	0.0648	0.5626	0.0528	0.2345	0.1803	0.0331	0.0151	0.4011	0.0968	0.5205	0.0673
0.04	0.345	0.148	0.3545	0.137	0.2726	0.1576	0.4782	0.0663	0.4898	0.0677	0.0443	0.0987	0.4113	0.0894	0.0311	0.0776	0.0075	0.0076	0.2425	0.1091	0.3275	0.0954
0.0533333333333333	0.0777	0.1287	0.0424	0.0986	0.0227	0.0692	0.3345	0.0861	0.3409	0.0843	0.0665	0.1303	0.1912	0.0706	0.0034	0.0051	0.0019	0.0034	0.1452	0.1057	0.1388	0.0815
0.0666666666666667	0.0017	0.0034	0.0048	0.0327	0.0015	0.0031	0.1801	0.0513	0.1903	0.0582	0.0805	0.1428	0.0679	0.0307	8e-04	0.0022	6e-04	0.0019	0.0791	0.0758	0.0366	0.0297
0.08	5e-04	0.0018	5e-04	0.0018	5e-04	0.0018	0.0973	0.032	0.0932	0.0334	0.0667	0.134	0.0239	0.0152	0.0037	0.0333	1e-04	7e-04	0.0388	0.0558	0.0077	0.0078
0.0933333333333333	1e-04	9e-04	1e-04	9e-04	1e-04	9e-04	0.0491	0.0213	0.0493	0.0207	0.0567	0.1258	0.0072	0.0067	9e-04	0.005	1e-04	7e-04	0.0269	0.053	0.0021	0.004
0.106666666666667	0	0	0	0	0	0	0.0254	0.0146	0.0273	0.0105	0.06	0.1287	0.0023	0.0035	9e-04	0.008	1e-04	7e-04	0.0233	0.0588	2e-04	0.0011
0.12	0	0	0	0	0.0067	0.0469	0.0159	0.0103	0.0149	0.0096	0.05	0.1196	0.0075	0.0473	0.0034	0.0333	0	0	0.0137	0.038	1e-04	7e-04
0.133333333333333	0	0	0	0	0.0067	0.0469	0.0102	0.0067	0.0118	0.009	0.06	0.1287	0.0072	0.0473	2e-04	0.002	0	0	0.0135	0.0409	1e-04	7e-04
0.146666666666667	0	0	0	0	0.0033	0.0333	0.0066	0.0058	0.0077	0.0061	0.0633	0.1314	0.0035	0.0333	0	0	0	0	0.0146	0.0459	0	0
0.16	0	0	0	0	0.0067	0.0469	0.0051	0.0053	0.0051	0.0066	0.0667	0.134	0.0069	0.0469	0.0013	0.0133	0	0	0.0096	0.0218	0	0
