parameter	FROST_MF_moyenne	FROST_MF_ecart_type	FROST_US_moyenne	FROST_US_ecart_type	FROST_DCMASE_moyenne	FROST_DCMASE_ecart_type	US_moyenne	US_ecart_type	MF_moyenne	MF_ecart_type	OLMF_moyenne	OLMF_ecart_type	DC_MASE_moyenne	DC_MASE_ecart_type	graph.tool_moyenne	graph.tool_ecart_type	Sum.A_moyenne	Sum.A_ecart_type	S.A.2.Bias.adj_moyenne	S.A.2.Bias.adj_ecart_type	MASE_moyenne	MASE_ecart_type
1	0.4603	0.2053	0.4574	0.2047	0.4631	0.202	0.4784	0.1862	0.4844	0.1829	0.5285	0.1662	0.4763	0.19	0.5186	0.2024	0.4755	0.1894	0.4736	0.1855	0.4755	0.1894
2	0.3491	0.2202	0.3432	0.2205	0.3419	0.2207	0.4375	0.1621	0.4321	0.1685	0.4834	0.2127	0.3774	0.2114	0.3643	0.2644	0.4221	0.203	0.4353	0.1873	0.3881	0.1842
3	0.2623	0.2184	0.2522	0.2143	0.2495	0.2178	0.3616	0.1774	0.377	0.1804	0.4551	0.2385	0.2883	0.2068	0.2572	0.2535	0.3727	0.2094	0.4581	0.2214	0.3059	0.1988
5	0.1498	0.1733	0.1541	0.184	0.1431	0.18	0.2697	0.1745	0.2831	0.1851	0.431	0.2507	0.207	0.1912	0.1381	0.2075	0.3887	0.2021	0.4073	0.2447	0.2061	0.1803
7	0.0447	0.0987	0.044	0.0991	0.0349	0.0752	0.1545	0.1323	0.1681	0.1428	0.4222	0.2413	0.086	0.1064	0.0469	0.13	0.3577	0.2114	0.2769	0.249	0.0959	0.1158
10	0.0315	0.0941	0.0273	0.0878	0.0231	0.067	0.1082	0.1247	0.1101	0.1204	0.3811	0.2693	0.0553	0.0961	0.027	0.1042	0.3513	0.2071	0.1885	0.2336	0.0637	0.1049
15	0.0103	0.0528	0.0125	0.0604	0.0195	0.0754	0.0582	0.1047	0.0577	0.1072	0.3447	0.282	0.0345	0.0868	0.0185	0.0923	0.3463	0.2052	0.0861	0.1817	0.025	0.07
20	2e-04	0.0011	2e-04	0.0011	0.0035	0.0333	0.0179	0.0395	0.0215	0.0472	0.2715	0.2653	0.0089	0.0364	5e-04	0.002	0.366	0.2212	0.0182	0.0746	0.0049	0.0131
30	0	0	0	0	0	0	0.0036	0.0089	0.0037	0.0104	0.2243	0.2351	6e-04	0.0021	0.0033	0.0333	0.3036	0.2407	6e-04	0.0032	5e-04	0.0023
40	0	0	0	0	0	0	6e-04	0.0027	0.0011	0.0044	0.2421	0.2492	1e-04	7e-04	0.0012	0.0097	0.3443	0.2432	0	0	0	0
50	0	0	0	0	0.0033	0.0333	0	0	0	0	0.1889	0.2406	0.0033	0.0333	6e-04	0.0054	0.307	0.2359	0	0	0	0
