parameter	FROST_MF_moyenne	FROST_MF_ecart_type	FROST_US_moyenne	FROST_US_ecart_type	FROST_DCMASE_moyenne	FROST_DCMASE_ecart_type	US_moyenne	US_ecart_type	MF_moyenne	MF_ecart_type	OLMF_moyenne	OLMF_ecart_type	DC_MASE_moyenne	DC_MASE_ecart_type	graph.tool_moyenne	graph.tool_ecart_type	Sum.A_moyenne	Sum.A_ecart_type	S.A.2.Bias.adj_moyenne	S.A.2.Bias.adj_ecart_type	MASE_moyenne	MASE_ecart_type
1	0.4247	0.1073	0.4303	0.1087	0.4226	0.1101	0.4542	0.0877	0.4586	0.0919	0.3477	0.0635	0.4258	0.1034	0.5703	0.0682	0.4255	0.1029	0.3928	0.0881	0.4255	0.1029
2	0.3348	0.1226	0.3267	0.1183	0.3602	0.1106	0.4557	0.0775	0.4594	0.0759	0.2063	0.0595	0.3946	0.0966	0.3367	0.1284	0.1889	0.0792	0.3018	0.109	0.3899	0.091
3	0.2405	0.1281	0.235	0.1308	0.2646	0.1405	0.4067	0.0912	0.4111	0.0809	0.1597	0.0634	0.3337	0.1006	0.219	0.1248	0.1106	0.0254	0.2575	0.1188	0.3335	0.1035
5	0.1071	0.0887	0.1119	0.0926	0.1232	0.1083	0.3317	0.0871	0.337	0.0863	0.1021	0.0762	0.2217	0.0896	0.159	0.114	0.0555	0.018	0.2091	0.132	0.2389	0.1135
7	0.0633	0.0566	0.0607	0.0509	0.0723	0.0717	0.2628	0.072	0.2803	0.0923	0.0839	0.1051	0.1537	0.0697	0.1666	0.1395	0.0342	0.0119	0.1864	0.1466	0.1749	0.1038
10	0.0293	0.0138	0.0299	0.0139	0.0316	0.0274	0.2082	0.0608	0.2148	0.0686	0.0767	0.1264	0.1002	0.038	0.1447	0.1274	0.0158	0.0094	0.1699	0.1534	0.1145	0.082
15	0.0137	0.0087	0.0137	0.0083	0.0161	0.0273	0.1448	0.0386	0.1488	0.0381	0.0399	0.0976	0.0575	0.0256	0.1305	0.1338	0.0051	0.006	0.1253	0.1451	0.0611	0.0568
20	0.0075	0.0068	0.0075	0.0067	0.0127	0.039	0.1055	0.0317	0.1065	0.0281	0.0665	0.129	0.0401	0.0183	0.1279	0.1333	0.0025	0.004	0.1276	0.1589	0.0451	0.0609
30	0.0032	0.0047	0.0032	0.0047	0.0059	0.0287	0.0682	0.0243	0.0675	0.0244	0.0537	0.1208	0.0196	0.0119	0.1197	0.1363	6e-04	0.0025	0.1121	0.1607	0.0251	0.0535
40	0.001	0.0026	0.001	0.0026	0.0071	0.0436	0.0457	0.0202	0.0441	0.0196	0.0927	0.1508	0.0123	0.0116	0.1412	0.1481	1e-04	9e-04	0.1051	0.162	0.0186	0.0535
50	4e-04	0.0016	5e-04	0.0017	0.0036	0.0327	0.0313	0.0187	0.0321	0.014	0.0879	0.1492	0.0084	0.0093	0.1235	0.1462	1e-04	7e-04	0.0993	0.1528	0.0145	0.049
