parameter	FROST_MF_moyenne	FROST_MF_ecart_type	FROST_US_moyenne	FROST_US_ecart_type	FROST_DCMASE_moyenne	FROST_DCMASE_ecart_type	US_moyenne	US_ecart_type	MF_moyenne	MF_ecart_type	OLMF_moyenne	OLMF_ecart_type	DC_MASE_moyenne	DC_MASE_ecart_type	graph.tool_moyenne	graph.tool_ecart_type	Sum.A_moyenne	Sum.A_ecart_type	S.A.2.Bias.adj_moyenne	S.A.2.Bias.adj_ecart_type	MASE_moyenne	MASE_ecart_type
1	0.4247	0.1073	0.4303	0.1087	0.4226	0.1101	0.4542	0.0877	0.4586	0.0919	0.3477	0.0635	0.4258	0.1034	0.5625	0.0669	0.4255	0.1029	0.3928	0.0881	0.4255	0.1029
2	0.3533	0.1248	0.3539	0.1188	0.3329	0.1289	0.469	0.073	0.4802	0.0711	0.2401	0.1365	0.3923	0.0958	0.3018	0.1487	0.2021	0.1045	0.4299	0.0344	0.3723	0.0961
3	0.2573	0.1523	0.2458	0.1513	0.2365	0.1531	0.4085	0.0801	0.4259	0.0794	0.1939	0.1967	0.3443	0.0958	0.1005	0.0783	0.0729	0.0233	0.5777	0.0511	0.3083	0.1028
5	0.081	0.1157	0.0951	0.1222	0.0749	0.1073	0.329	0.0916	0.3497	0.0922	0.0675	0.1069	0.2279	0.0897	0.0191	0.011	0.0184	0.0109	0.4938	0.0931	0.1921	0.1013
7	0.0247	0.0721	0.0162	0.0492	0.0187	0.0598	0.2479	0.0747	0.2592	0.0949	0.0581	0.1213	0.1322	0.0737	0.0044	0.0058	0.0033	0.0056	0.3175	0.1455	0.0829	0.0633
10	0.0108	0.0536	0.0077	0.0445	0.0047	0.032	0.1783	0.0622	0.1791	0.0635	0.044	0.1124	0.0739	0.0451	4e-04	0.0016	5e-04	0.0018	0.0705	0.0865	0.0477	0.0628
15	3e-04	0.0013	3e-04	0.0013	2e-04	0.0011	0.0993	0.035	0.1047	0.0393	0.0633	0.1314	0.0252	0.0177	0	0	1e-04	7e-04	0.0025	0.0045	0.0086	0.0103
20	0	0	0	0	0.0033	0.0333	0.0621	0.0227	0.0629	0.0283	0.06	0.1287	0.0137	0.035	0.0016	0.016	0	0	1e-04	7e-04	0.0025	0.0049
30	0	0	0	0	0	0	0.0227	0.0129	0.0231	0.0136	0.0567	0.1258	0.0025	0.0041	0	0	0	0	0	0	3e-04	0.0013
40	0	0	0	0	0	0	0.0083	0.0073	0.0091	0.008	0.0533	0.1228	3e-04	0.0013	1e-04	7e-04	0	0	0	0	0	0
50	0	0	0	0	0.0033	0.0333	0.0025	0.004	0.0022	0.0036	0.07	0.1365	0.0034	0.0333	0	0	0	0	0	0	0	0
