parameter	FROST_MF_moyenne	FROST_MF_ecart_type	FROST_US_moyenne	FROST_US_ecart_type	FROST_DCMASE_moyenne	FROST_DCMASE_ecart_type	US_moyenne	US_ecart_type	MF_moyenne	MF_ecart_type	OLMF_moyenne	OLMF_ecart_type	DC_MASE_moyenne	DC_MASE_ecart_type	graph.tool_moyenne	graph.tool_ecart_type	Sum.A_moyenne	Sum.A_ecart_type	S.A.2.Bias.adj_moyenne	S.A.2.Bias.adj_ecart_type	MASE_moyenne	MASE_ecart_type
1	0.4411	0.0922	0.4414	0.0933	0.4508	0.0961	0.4679	0.0787	0.4666	0.0736	0.3478	0.0677	0.4428	0.0855	0.5709	0.0594	0.441	0.0841	0.4133	0.0835	0.441	0.0841
2	0.3628	0.1129	0.3806	0.1142	0.348	0.1248	0.4581	0.0713	0.4741	0.0702	0.2617	0.1481	0.3923	0.0825	0.3381	0.1465	0.2039	0.1037	0.4334	0.04	0.3815	0.084
3	0.2386	0.1433	0.2447	0.1467	0.2359	0.1551	0.4148	0.0894	0.4321	0.0894	0.2007	0.2033	0.3313	0.1046	0.1103	0.0927	0.0725	0.0221	0.5915	0.0406	0.3121	0.114
5	0.0901	0.1233	0.0943	0.1255	0.0711	0.1178	0.3215	0.0906	0.3269	0.0972	0.0511	0.0899	0.2063	0.0895	0.0175	0.0118	0.0173	0.0119	0.51	0.0946	0.1696	0.1036
7	0.0378	0.0875	0.0327	0.0852	0.0283	0.0756	0.2511	0.0765	0.2661	0.0829	0.0469	0.1082	0.1487	0.0785	0.0127	0.0471	0.0046	0.0061	0.3451	0.1297	0.098	0.0775
10	0.0017	0.0034	0.0048	0.0327	0.0015	0.0031	0.1801	0.0513	0.1903	0.0582	0.0805	0.1428	0.0679	0.0307	0.0016	0.0063	6e-04	0.0019	0.0791	0.0758	0.0366	0.0297
15	1e-04	7e-04	1e-04	7e-04	0.0101	0.0571	0.1091	0.0331	0.1127	0.0431	0.0567	0.1258	0.039	0.0581	0.0012	0.012	0	0	0.0056	0.036	0.0111	0.0155
20	0	0	0	0	0.0033	0.0333	0.0663	0.0218	0.0685	0.0282	0.0467	0.1162	0.0145	0.0346	0	0	0	0	2e-04	0.0011	0.0025	0.0046
30	0	0	0	0	0.0033	0.0333	0.0207	0.013	0.0262	0.0161	0.0567	0.1258	0.0057	0.0334	0.0044	0.0342	0	0	0	0	1e-04	7e-04
40	0	0	0	0	0	0	0.0086	0.0075	0.0089	0.0073	0.0633	0.1314	3e-04	0.0013	0	0	0	0	0	0	0	0
50	0	0	0	0	0	0	0.003	0.0041	0.0024	0.0039	0.0833	0.1451	1e-04	7e-04	1e-04	7e-04	0	0	0	0	0	0
