parameter	FROST_MF_moyenne	FROST_MF_ecart_type	FROST_US_moyenne	FROST_US_ecart_type	FROST_DCMASE_moyenne	FROST_DCMASE_ecart_type	US_moyenne	US_ecart_type	MF_moyenne	MF_ecart_type	OLMF_moyenne	OLMF_ecart_type	DC_MASE_moyenne	DC_MASE_ecart_type	graph.tool_moyenne	graph.tool_ecart_type	Sum.A_moyenne	Sum.A_ecart_type	S.A.2.Bias.adj_moyenne	S.A.2.Bias.adj_ecart_type	MASE_moyenne	MASE_ecart_type
1	0.4349	0.1	0.4321	0.0946	0.4317	0.0986	0.4744	0.082	0.4693	0.0743	0.3689	0.071	0.4319	0.0932	0.5719	0.0655	0.4303	0.0912	0.4181	0.0947	0.4304	0.0911
2	0.3718	0.1208	0.3758	0.1197	0.3474	0.1427	0.4821	0.0664	0.4807	0.0802	0.4869	0.0337	0.4059	0.1029	0.4086	0.1488	0.4309	0.0397	0.4884	0.0431	0.365	0.1019
3	0.2618	0.1441	0.2441	0.1347	0.2308	0.1451	0.4051	0.0905	0.4115	0.0932	0.4515	0.1162	0.3359	0.1165	0.2467	0.1824	0.3555	0.1396	0.49	0.0265	0.3059	0.1294
5	0.1071	0.1304	0.1092	0.1306	0.0964	0.1292	0.3334	0.0898	0.3362	0.0912	0.4958	0.0241	0.231	0.1114	0.3047	0.2032	0.4515	0.0563	0.473	0.0519	0.2979	0.1841
7	0.0223	0.0572	0.0292	0.0784	0.017	0.0538	0.2643	0.084	0.2811	0.091	0.4636	0.074	0.1393	0.078	0.3687	0.1721	0.4177	0.0723	0.4392	0.0721	0.3697	0.1735
10	0.0018	0.0147	0.0018	0.016	4e-04	0.0016	0.1845	0.0636	0.1919	0.0656	0.4101	0.0883	0.0713	0.0375	0.3645	0.1714	0.3393	0.023	0.3647	0.0578	0.4325	0.0997
15	0	0	0	0	0.0033	0.0333	0.1105	0.0423	0.1099	0.0426	0.4355	0.0804	0.0279	0.0354	0.3878	0.1535	0.3523	0.052	0.3667	0.065	0.4341	0.0898
20	0	0	0	0	0	0	0.0675	0.0265	0.0663	0.0273	0.4039	0.0917	0.0111	0.0101	0.338	0.1958	0.3334	7e-04	0.3472	0.0453	0.4202	0.0818
30	0	0	0	0	0.0033	0.0333	0.0243	0.0151	0.0253	0.0125	0.395	0.0992	0.0046	0.0333	0.3596	0.1547	0.3333	0	0.3434	0.0398	0.4007	0.0815
40	0	0	0	0	0	0	0.0074	0.0061	0.0081	0.008	0.3869	0.1055	1e-04	9e-04	0.3977	0.1228	0.3333	0	0.3351	0.0167	0.3851	0.0774
50	0	0	0	0	0.0033	0.0333	0.0019	0.0035	0.0017	0.0036	0.4033	0.101	0.0034	0.0333	0.3863	0.1206	0.3333	0	0.335	0.0167	0.3784	0.0743
