parameter	FROST_MF_moyenne	FROST_MF_ecart_type	FROST_US_moyenne	FROST_US_ecart_type	FROST_DCMASE_moyenne	FROST_DCMASE_ecart_type	US_moyenne	US_ecart_type	MF_moyenne	MF_ecart_type	OLMF_moyenne	OLMF_ecart_type	DC_MASE_moyenne	DC_MASE_ecart_type	graph.tool_moyenne	graph.tool_ecart_type	Sum.A_moyenne	Sum.A_ecart_type	S.A.2.Bias.adj_moyenne	S.A.2.Bias.adj_ecart_type	MASE_moyenne	MASE_ecart_type
1	0.4251	0.1083	0.4287	0.1123	0.4245	0.1104	0.4542	0.0877	0.4586	0.0919	0.3477	0.0635	0.4258	0.1034	0.5685	0.0589	0.4255	0.1029	0.3928	0.0881	0.4255	0.1029
2	0.3289	0.1244	0.3289	0.116	0.3636	0.1138	0.4557	0.0775	0.4594	0.0759	0.2063	0.0595	0.3946	0.0966	0.3508	0.1374	0.1889	0.0792	0.3018	0.109	0.3899	0.091
3	0.2508	0.1281	0.2411	0.1292	0.2641	0.1394	0.4067	0.0912	0.4111	0.0809	0.1597	0.0634	0.3337	0.1006	0.2344	0.1188	0.1106	0.0254	0.2575	0.1188	0.3335	0.1035
5	0.1043	0.0873	0.1051	0.088	0.1244	0.1097	0.3317	0.0871	0.337	0.0863	0.1021	0.0762	0.2217	0.0896	0.1705	0.1325	0.0555	0.018	0.2091	0.132	0.2389	0.1135
7	0.0637	0.0585	0.0631	0.0571	0.0723	0.0716	0.2628	0.072	0.2803	0.0923	0.0839	0.1051	0.1537	0.0697	0.1633	0.133	0.0342	0.0119	0.1864	0.1466	0.1749	0.1038
10	0.0293	0.0137	0.0299	0.0138	0.0346	0.0382	0.2082	0.0608	0.2148	0.0686	0.0767	0.1264	0.1002	0.038	0.1425	0.1379	0.0158	0.0094	0.1699	0.1534	0.1145	0.082
15	0.0138	0.0086	0.0137	0.0084	0.0192	0.042	0.1448	0.0386	0.1488	0.0381	0.0399	0.0976	0.0575	0.0256	0.1337	0.1419	0.0051	0.006	0.1253	0.1451	0.0611	0.0568
20	0.0076	0.0068	0.0075	0.0067	0.0129	0.0395	0.1055	0.0317	0.1065	0.0281	0.0665	0.129	0.0401	0.0183	0.1345	0.1307	0.0025	0.004	0.1276	0.1589	0.0451	0.0609
30	0.0033	0.0048	0.0034	0.0049	0.0062	0.0287	0.0682	0.0243	0.0675	0.0244	0.0537	0.1208	0.0196	0.0119	0.1525	0.153	6e-04	0.0025	0.1121	0.1607	0.0251	0.0535
40	0.001	0.0026	0.001	0.0026	0.0071	0.0441	0.0457	0.0202	0.0441	0.0196	0.0927	0.1508	0.0123	0.0116	0.1327	0.1509	1e-04	9e-04	0.1051	0.162	0.0186	0.0535
50	4e-04	0.0016	4e-04	0.0016	0.0036	0.0327	0.0313	0.0187	0.0321	0.014	0.0879	0.1492	0.0084	0.0093	0.1345	0.1508	1e-04	7e-04	0.0993	0.1528	0.0145	0.049
