parameter	FROST_MF_moyenne	FROST_MF_ecart_type	FROST_US_moyenne	FROST_US_ecart_type	FROST_DCMASE_moyenne	FROST_DCMASE_ecart_type	US_moyenne	US_ecart_type	MF_moyenne	MF_ecart_type	OLMF_moyenne	OLMF_ecart_type	DC_MASE_moyenne	DC_MASE_ecart_type	graph.tool_moyenne	graph.tool_ecart_type	Sum.A_moyenne	Sum.A_ecart_type	S.A.2.Bias.adj_moyenne	S.A.2.Bias.adj_ecart_type	MASE_moyenne	MASE_ecart_type
1	0.3953	0.2181	0.3934	0.2162	0.3985	0.2154	0.4115	0.1978	0.4161	0.1974	0.4995	0.19	0.4109	0.2034	0.4662	0.2332	0.4074	0.2088	0.4101	0.2071	0.4074	0.2088
2	0.3389	0.2124	0.3394	0.2196	0.3485	0.2112	0.4315	0.1604	0.4244	0.1604	0.4769	0.2106	0.3739	0.2022	0.3587	0.2555	0.4193	0.1955	0.4338	0.1816	0.3803	0.1802
3	0.2402	0.2037	0.2365	0.2013	0.2375	0.206	0.3477	0.1689	0.3771	0.1734	0.4743	0.2333	0.2802	0.2007	0.2445	0.2424	0.3907	0.2048	0.4622	0.2351	0.2838	0.188
5	0.1707	0.2029	0.165	0.2045	0.1607	0.2003	0.2736	0.1952	0.2868	0.1983	0.4259	0.2467	0.2075	0.2014	0.1616	0.2322	0.3901	0.1981	0.4021	0.2454	0.204	0.1866
7	0.0762	0.1399	0.0628	0.1194	0.0651	0.1198	0.1704	0.1548	0.1767	0.1572	0.3855	0.2669	0.11	0.1385	0.049	0.1225	0.3538	0.1986	0.2854	0.2571	0.1152	0.1424
10	0.0305	0.0919	0.0288	0.097	0.0296	0.0942	0.1112	0.1369	0.1096	0.1361	0.3109	0.2744	0.0623	0.1093	0.0201	0.0831	0.355	0.21	0.1653	0.2342	0.0607	0.0996
15	0.0091	0.0594	0.0067	0.0388	0.0075	0.0508	0.0547	0.089	0.0539	0.0847	0.3694	0.2602	0.0232	0.0576	0.0083	0.0634	0.3819	0.1956	0.0809	0.163	0.0219	0.0542
20	0.0043	0.0387	0.0022	0.018	0.0078	0.0523	0.0269	0.0636	0.0289	0.0652	0.317	0.2681	0.0146	0.0582	0.0072	0.0628	0.3607	0.22	0.0287	0.1012	0.0121	0.0501
30	0	0	0	0	0.0067	0.0469	0.0034	0.0084	0.0037	0.0103	0.3101	0.265	0.0072	0.0469	9e-04	0.0054	0.4097	0.2081	5e-04	0.0024	5e-04	0.0024
40	0	0	0	0	0	0	6e-04	0.0019	0.0011	0.0042	0.2343	0.2671	1e-04	7e-04	2e-04	0.002	0.3717	0.2401	0	0	0	0
50	0	0	0	0	0.0033	0.0333	1e-04	7e-04	1e-04	7e-04	0.1911	0.2386	0.0033	0.0333	5e-04	0.004	0.314	0.2423	0	0	0	0
